Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,I1A93WXQ,16808,37,4,0,1.4,1.3,3,5,40,0,37.017975940379486,0.9751985621452331,1.2044344675270415,74.16617073572343
referee,AOKRLERQ,20000,37,4,0,1.4,1.3,3,5,40,0,37.18109429222129,0.9764685687422752,1.200363547559303,73.92670166996253
referee,2VSH3XRY,576,50,4,0,1.4,1.3,3,5,40,0,32.48648810316113,0.8808512166142464,1.5306745253445178,87.60005979615579
referee,ML3W8IF1,2605,50,4,0,1.4,1.3,3,5,40,0,34.71485325669806,0.946011901795864,1.330428820193196,79.96946982743499
referee,PNLT0BLR,4634,50,4,0,1.4,1.3,3,5,40,0,35.68094690075905,0.960839114189148,1.2701695370059718,77.22160891481039
referee,VBX40R9S,6663,50,4,0,1.4,1.3,3,5,40,0,36.114951843985246,0.9663659858703614,1.2424142499772397,75.95315925656817
referee,6WI0F067,8692,50,4,0,1.4,1.3,3,5,40,0,36.40658739886242,0.9695315554738044,1.2276076872112271,75.27233640836856
referee,K9GY8JJI,10721,50,4,0,1.4,1.3,3,5,40,0,36.612279918385006,0.9716130530834198,1.217793315342292,74.81205771150758
referee,MS0X3PHP,12750,50,4,0,1.4,1.3,3,5,40,0,36.77300906429162,0.9731033158302308,1.212167026635732,74.49641491705495
referee,T5T7YDHV,14779,50,4,0,1.4,1.3,3,5,40,0,36.91935057230795,0.9743698713183404,1.207415102159361,74.3130884998908
referee,C5HCL88J,16808,50,4,0,1.4,1.3,3,5,40,0,37.03805788342927,0.9753583598136902,1.2039884812881607,74.14672118272497
referee,3APAO9QT,20000,50,4,0,1.4,1.3,3,5,40,0,37.18726321854184,0.9765291672945022,1.200156993560821,73.92123405106629
ant,58RBUYZU,576,0,4,0,1.4,1.3,3,5,40,0,32.53856491502185,0.9330088567733764,1.4586491406452522,94.98397481987672
ant,R48USWQO,2605,0,4,0,1.4,1.3,3,5,40,0,33.33300735217849,0.93677228808403,1.7225465505708828,90.17200876209633
ant,A0U0LZQP,4634,0,4,0,1.4,1.3,3,5,40,0,33.45801656800624,0.9371584904193878,1.6255798286153107,85.34676871624418
ant,VOOEW19M,6663,0,4,0,1.4,1.3,3,5,40,0,33.55443711168047,0.9374321296811104,1.5794493700174137,82.71752036846063
ant,MSEO6OYN,8692,0,4,0,1.4,1.3,3,5,40,0,33.65021546854055,0.9377910730242728,1.5538639443482638,80.80877145131781
ant,46DZTJM7,10721,0,4,0,1.4,1.3,3,5,40,0,33.71817520910133,0.9380847528576852,1.5356660820134238,79.52268003083357
ant,8BBICTUD,12750,0,4,0,1.4,1.3,3,5,40,0,33.798677638915066,0.9386413329839708,1.5214388435896975,78.25332015626644
ant,70IG0FB6,14779,0,4,0,1.4,1.3,3,5,40,0,33.86605878589855,0.9391385963559152,1.5083320131855598,77.38627589731368
ant,8B97THE9,16808,0,4,0,1.4,1.3,3,5,40,0,33.9323680545934,0.9396501424908638,1.5035433484329357,76.58074709165342
ant,FLVDL5HM,20000,0,4,0,1.4,1.3,3,5,40,0,34.02665539460892,0.9405301213264464,1.4964925036339694,75.54174779865129
ant,AU3UIP0M,576,12,4,0,1.4,1.3,3,5,40,0,32.52057586427154,0.9329910415410996,1.4723779829234231,94.99196449650655
ant,ITKP7WW0,2605,12,4,0,1.4,1.3,3,5,40,0,33.33285127941135,0.9367663750052452,1.7208161611742412,90.17370277581212
ant,5HTIF9GR,4634,12,4,0,1.4,1.3,3,5,40,0,33.45494231334479,0.9371453857421876,1.628859351322639,85.55197825088659
ant,HBG4DQEO,6663,12,4,0,1.4,1.3,3,5,40,0,33.553623194604114,0.9374299246072768,1.579750943443715,82.735598276025
ant,UGP2HVEL,8692,12,4,0,1.4,1.3,3,5,40,0,33.64788145093286,0.9378009873628615,1.558677248874265,80.93483641231914
ant,F4OLQ4KS,10721,12,4,0,1.4,1.3,3,5,40,0,33.712503335498496,0.9381452935934068,1.536477540325385,79.6936300343575
ant,JHTQS9S7,12750,12,4,0,1.4,1.3,3,5,40,0,33.79775116510357,0.9386104395985604,1.5233216770957778,78.30170700326128
ant,L2G184BQ,14779,12,4,0,1.4,1.3,3,5,40,0,33.86311130764222,0.9391054221987724,1.5116866335714392,77.48858674061331
ant,MJ3K28JA,16808,12,4,0,1.4,1.3,3,5,40,0,33.92562869587316,0.939645149409771,1.5071000432363106,76.77539432435874
ant,9W1M5QH9,20000,12,4,0,1.4,1.3,3,5,40,0,34.02793569143432,0.9405573573708534,1.4974408153041323,75.53191872653152
ant,RQM7UO70,576,25,4,0,1.4,1.3,3,5,40,0,32.53974750085443,0.9330088433623314,1.462081781172018,94.9830140359782
ant,OEHJXKEY,2605,25,4,0,1.4,1.3,3,5,40,0,33.330836150042096,0.936763442158699,1.7225327678247766,90.12735127365497
ant,TGXY0603,4634,25,4,0,1.4,1.3,3,5,40,0,33.45803097084169,0.9371548810601236,1.6242679633653965,85.36934081691282
ant,2MQSAXB0,6663,25,4,0,1.4,1.3,3,5,40,0,33.550030992423515,0.9374159038066864,1.577000017570701,82.76943430371453
ant,NTKZOEMQ,8692,25,4,0,1.4,1.3,3,5,40,0,33.642662436174014,0.937803683578968,1.556319837844088,81.00706587026951
ant,7EY3ZKRW,10721,25,4,0,1.4,1.3,3,5,40,0,33.71915754019213,0.9381003844738006,1.534364846520202,79.44679074474342
ant,38904IDM,12750,25,4,0,1.4,1.3,3,5,40,0,33.80260868309304,0.9386259686946868,1.5216064414425716,78.18401097569185
ant,N211OJDQ,14779,25,4,0,1.4,1.3,3,5,40,0,33.86695108123118,0.9391423845291138,1.5073668043683264,77.36389342504606
ant,0554DMI5,16808,25,4,0,1.4,1.3,3,5,40,0,33.92681647456593,0.9396446916460992,1.5052864205749794,76.68506799600391
ant,4C9MSJF3,20000,25,4,0,1.4,1.3,3,5,40,0,34.02287999381238,0.9405410578846932,1.4985042471614174,75.62390114292197
ant,PZAP1320,576,37,4,0,1.4,1.3,3,5,40,0,32.533135858694536,0.9330213436484336,1.4566310109022882,94.99169901674512
ant,OVPZVHDU,2605,37,4,0,1.4,1.3,3,5,40,0,33.33202752491196,0.9367655685544014,1.719372620137146,90.13508811241677
ant,D5DONNRU,4634,37,4,0,1.4,1.3,3,5,40,0,33.45361188371788,0.9371404913067818,1.6274287855243588,85.27127764979616
ant,N23R4ZTN,6663,37,4,0,1.4,1.3,3,5,40,0,33.554590621258754,0.9374272072315216,1.579120438897382,82.74934001415261
ant,0B8SORN1,8692,37,4,0,1.4,1.3,3,5,40,0,33.63907189211839,0.9377870434522628,1.562815876358972,81.09709511412943
ant,HICSEN0J,10721,37,4,0,1.4,1.3,3,5,40,0,33.70982753334782,0.9381274336576462,1.5379107737830138,79.73646709014902
ant,MU0Z56JZ,12750,37,4,0,1.4,1.3,3,5,40,0,33.798406856440444,0.9386219030618668,1.5221505036774656,78.30383084135278
ant,9P7PYOBU,14779,37,4,0,1.4,1.3,3,5,40,0,33.86670012749576,0.9391451311111452,1.513319146907051,77.40392398050241
ant,BF3MJLDX,16808,37,4,0,1.4,1.3,3,5,40,0,33.93086010553223,0.9396604299545288,1.5014969276709749,76.55010946299448
ant,PHSNZADN,20000,37,4,0,1.4,1.3,3,5,40,0,34.022121067438654,0.9405391943454744,1.4980763178867793,75.64815461541305
ant,DBMECLCL,576,50,4,0,1.4,1.3,3,5,40,0,32.523241392729695,0.932973889708519,1.4623725081385393,94.97830493068608
ant,PWLEQUG2,2605,50,4,0,1.4,1.3,3,5,40,0,33.332490919159405,0.9367724961042404,1.718552805994407,90.23645081371129
ant,TVTPSAM5,4634,50,4,0,1.4,1.3,3,5,40,0,33.45857231106815,0.9371464097499848,1.6262362184393613,85.31844455407776
ant,4LB44GRQ,6663,50,4,0,1.4,1.3,3,5,40,0,33.554286004238286,0.9374399864673616,1.5776004600716798,82.74083834083999
ant,WXAL731M,8692,50,4,0,1.4,1.3,3,5,40,0,33.6449330845737,0.9377931305766104,1.558607708558613,80.90048206700014
ant,CS29Z9HJ,10721,50,4,0,1.4,1.3,3,5,40,0,33.71794202638821,0.9381438082456588,1.5376502227623523,79.55693324100538
ant,326P9L0G,12750,50,4,0,1.4,1.3,3,5,40,0,33.79529590054179,0.938598844408989,1.5252453941644084,78.3794356848414
ant,O6XMU68K,14779,50,4,0,1.4,1.3,3,5,40,0,33.866259530808136,0.9391203084588052,1.508356606374483,77.38515076880094
ant,40YZOJPW,16808,50,4,0,1.4,1.3,3,5,40,0,33.92998030652789,0.9396559593081474,1.5035435597853315,76.59116401181637
ant,LZ1UX1JJ,20000,50,4,0,1.4,1.3,3,5,40,0,34.02660748056812,0.940535143315792,1.4990786324357233,75.51214680525132
misato,UVWBZXLB,576,0,4,0,1.4,1.3,3,5,40,0,29.3612178012389,0.6547107368707656,1.691681498292214,74.55364476848426
misato,YOJ9PL2Z,2605,0,4,0,1.4,1.3,3,5,40,0,31.073558092725225,0.8851008310914039,1.2848605609405277,61.89148009075616
misato,5YLH4ZPV,4634,0,4,0,1.4,1.3,3,5,40,0,31.640308311166876,0.922764886021614,1.239105219393559,57.94146360888763
misato,HG5NIGZB,6663,0,4,0,1.4,1.3,3,5,40,0,31.849126166940863,0.932125063240528,1.2344519286464846,56.60948843630208
misato,0IZ2DVEF,8692,0,4,0,1.4,1.3,3,5,40,0,31.98663617612462,0.9371965825557708,1.2288225745196342,55.88198539671684
misato,AUO1FU0Q,10721,0,4,0,1.4,1.3,3,5,40,0,32.0969640596239,0.9404530480504036,1.219940667022151,55.39235854432391
misato,D85FH5U1,12750,0,4,0,1.4,1.3,3,5,40,0,32.18614824538497,0.942523247897625,1.2117238189914756,55.102012178568
misato,VJGFNGOB,14779,0,4,0,1.4,1.3,3,5,40,0,32.26286367532785,0.9441820910573006,1.2056147435895097,54.92963996203639
misato,JGKLQJLA,16808,0,4,0,1.4,1.3,3,5,40,0,32.3276758798356,0.9455653822422028,1.2010864161331454,54.811330802636974
misato,PR5V1VQD,20000,0,4,0,1.4,1.3,3,5,40,0,32.41548590056039,0.9473319005966186,1.197458265903823,54.71175692925881
misato,KVK2M3QB,576,12,4,0,1.4,1.3,3,5,40,0,29.360948689546596,0.6547360643744469,1.693980458793423,74.59065391141763
misato,08V51IG9,2605,12,4,0,1.4,1.3,3,5,40,0,31.074645978204995,0.8852858978509903,1.2839643501424862,61.85335846120344
misato,0T5BPD7U,4634,12,4,0,1.4,1.3,3,5,40,0,31.644650741908556,0.9229556053876876,1.239287180901133,57.90040273911905
misato,3DW9Q296,6663,12,4,0,1.4,1.3,3,5,40,0,31.84623958573389,0.9320755553245544,1.2347976032928671,56.639449723664015
misato,0Q7K1GMG,8692,12,4,0,1.4,1.3,3,5,40,0,31.97528454050349,0.936901545226574,1.230323267202542,55.93916468057254
misato,GKDHBEDX,10721,12,4,0,1.4,1.3,3,5,40,0,32.08667329946378,0.9401898482441902,1.2212892468415324,55.437287833473405
misato,DBFNYM2G,12750,12,4,0,1.4,1.3,3,5,40,0,32.178466277461325,0.9424115499854088,1.2122305528501085,55.10844058136277
misato,N8XQPH9B,14779,12,4,0,1.4,1.3,3,5,40,0,32.26136267763447,0.9441563934087752,1.205440826590039,54.92808500914799
misato,PWBMTX8K,16808,12,4,0,1.4,1.3,3,5,40,0,32.3220723265591,0.9454589781165122,1.2013545529479064,54.82177300658675
misato,E73YCTVN,20000,12,4,0,1.4,1.3,3,5,40,0,32.39618648771154,0.9469531854987144,1.1984768635301803,54.73196499586136
misato,27GE4JWE,576,25,4,0,1.4,1.3,3,5,40,0,29.362221352042532,0.6551811137795448,1.6897120703938897,74.61871259382261
misato,EBUZONJZ,2605,25,4,0,1.4,1.3,3,5,40,0,31.071277355808007,0.8847789573669433,1.2844855712989582,61.91659321199855
misato,ONDZDU4Z,4634,25,4,0,1.4,1.3,3,5,40,0,31.642553780439258,0.9229298624396324,1.2396357206962787,57.92317078913543
misato,3C65C0NV,6663,25,4,0,1.4,1.3,3,5,40,0,31.847713741870237,0.932036851644516,1.2345074231836226,56.62431737726222
misato,UI5PC55U,8692,25,4,0,1.4,1.3,3,5,40,0,31.98475668627067,0.9372178488969802,1.2291111719839314,55.873660709911846
misato,W80O7ADX,10721,25,4,0,1.4,1.3,3,5,40,0,32.09802136377275,0.9404634422063828,1.2195794392263692,55.39200457130866
misato,I8NDHTZ2,12750,25,4,0,1.4,1.3,3,5,40,0,32.18813067398918,0.9426021134853364,1.2116508682421028,55.08954095072727
misato,UCUPFGVC,14779,25,4,0,1.4,1.3,3,5,40,0,32.25629966657484,0.9440639424324035,1.20592001963511,54.938628348244976
misato,5HEX193L,16808,25,4,0,1.4,1.3,3,5,40,0,32.333262601814965,0.9456736755371092,1.201039902878567,54.8069756703601
misato,L5HLGXJM,20000,25,4,0,1.4,1.3,3,5,40,0,32.41863586897063,0.9473598366975784,1.1969147330251482,54.71147880760397
misato,CW8EW3Q5,576,37,4,0,1.4,1.3,3,5,40,0,29.36393327840613,0.6557815161347389,1.6899765015191406,74.48965150408507
misato,WIRBI9PC,2605,37,4,0,1.4,1.3,3,5,40,0,31.07268554593264,0.8848649901151657,1.2851268373611515,61.88987457029415
misato,TT2C970L,4634,37,4,0,1.4,1.3,3,5,40,0,31.637475752062063,0.9226651275157928,1.239112166071274,57.96073617537846
misato,3PTEQIXP,6663,37,4,0,1.4,1.3,3,5,40,0,31.845628880524902,0.9319175764918328,1.23511260492614,56.66133284114229
misato,O8GWHW0G,8692,37,4,0,1.4,1.3,3,5,40,0,31.98641813108028,0.9372458508610726,1.228481976690563,55.87455196339667
misato,44SKESWN,10721,37,4,0,1.4,1.3,3,5,40,0,32.08666767455573,0.940236785709858,1.221180932983699,55.4328062822625
misato,Q98Y2Q3T,12750,37,4,0,1.4,1.3,3,5,40,0,32.18102013064552,0.9424283680319786,1.2121897965487174,55.12911007707447
misato,SSRTENCQ,14779,37,4,0,1.4,1.3,3,5,40,0,32.26601658133594,0.944227806031704,1.204720581432572,54.91359739930969
misato,F3BRDA60,16808,37,4,0,1.4,1.3,3,5,40,0,32.317078863435654,0.945371507704258,1.2015273107166076,54.828005460033765
misato,N3DDNB2V,20000,37,4,0,1.4,1.3,3,5,40,0,32.41906392858087,0.9473630541563034,1.196908089602235,54.71773654483779
misato,98DMIJ1V,576,50,4,0,1.4,1.3,3,5,40,0,29.36676205053477,0.6561813902854919,1.6744841698481998,74.45604935142346
misato,LVFRSTEG,2605,50,4,0,1.4,1.3,3,5,40,0,31.074934259962287,0.8853077000379562,1.2852061647801047,61.890835354192674
misato,D17IBK2T,4634,50,4,0,1.4,1.3,3,5,40,0,31.64275741506815,0.9229227775335312,1.2391978108242494,57.90961235846216
misato,I2GLP496,6663,50,4,0,1.4,1.3,3,5,40,0,31.851196912605165,0.9321887642145156,1.2343448304426083,56.617244237904
misato,LWJB4CPQ,8692,50,4,0,1.4,1.3,3,5,40,0,31.98543857313104,0.937218747138977,1.22868655808139,55.88867927927301
misato,LR0AV7LC,10721,50,4,0,1.4,1.3,3,5,40,0,32.09283675984677,0.9403815108537674,1.220652843807862,55.40524695464689
misato,5Y0JF5YN,12750,50,4,0,1.4,1.3,3,5,40,0,32.17828757020973,0.9423974746465684,1.2126615425015113,55.12500778266563
misato,DW3P8JDN,14779,50,4,0,1.4,1.3,3,5,40,0,32.25984331817683,0.944146391749382,1.2055090070494787,54.92616976229764
misato,3TQ5D1PU,16808,50,4,0,1.4,1.3,3,5,40,0,32.31735195463598,0.9453705537319184,1.2023296344302683,54.83696224150884
misato,SX162I6G,20000,50,4,0,1.4,1.3,3,5,40,0,32.4160552804603,0.9473140436410904,1.197365888281337,54.714405405926456
duck,2KRSWSHC,576,0,4,0,1.4,1.3,3,5,40,0,29.28284750767204,0.6568338388204574,1.9172980280638277,82.42314123870959
duck,MIDRNUGW,2605,0,4,0,1.4,1.3,3,5,40,0,31.422331719362735,0.8408075287938118,1.4309641397020052,72.17064786227164
duck,O7D5WAPX,4634,0,4,0,1.4,1.3,3,5,40,0,32.08353047598271,0.8895010420680046,1.3311287937244607,69.92952460475911
duck,7Q2HUGHD,6663,0,4,0,1.4,1.3,3,5,40,0,32.521581748501696,0.9113846909999848,1.29012691840203,69.04997119228541
duck,9KWXFRQV,8692,0,4,0,1.4,1.3,3,5,40,0,32.850195522989345,0.924416783452034,1.2706293052622395,68.5407367632265
duck,1BEZH9Y3,10721,0,4,0,1.4,1.3,3,5,40,0,33.11564327523054,0.9342063385248184,1.256290369253546,68.09056526014015
duck,CC3BNZ4A,12750,0,4,0,1.4,1.3,3,5,40,0,33.29387207956988,0.939008143246174,1.247733154551418,67.85838424592528
duck,VI5VSARQ,14779,0,4,0,1.4,1.3,3,5,40,0,33.46895391943903,0.9444684183597564,1.240494925174802,67.52366483432957
duck,OICX1HJV,16808,0,4,0,1.4,1.3,3,5,40,0,33.60292453584238,0.948077667951584,1.2358637495045766,67.22582814673319
duck,T40SGYVR,20000,0,4,0,1.4,1.3,3,5,40,0,33.76693443067159,0.9521771144866944,1.2304749693808166,66.80824744483631
duck,XDXNFTYH,576,12,4,0,1.4,1.3,3,5,40,0,29.280374182120404,0.6569548669457436,1.921389365680764,82.42735731015905
duck,JNTE4974,2605,12,4,0,1.4,1.3,3,5,40,0,31.42777445181576,0.8413559478521347,1.428877124731968,72.1087721150172
