Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,MATB68OX,576,21,4,0,1.4,1.3,3,5,40,0,33.76979287873241,0.8913618367910385,1.440693542449867,83.33893895956585
referee,6QABLU1W,972,21,4,0,1.4,1.3,3,5,40,0,34.32997858356557,0.9140849861502648,1.4420034645654842,81.40447643124406
referee,PRNTGM0Z,1368,21,4,0,1.4,1.3,3,5,40,0,34.97592483129757,0.9272928938269616,1.4088576051442103,80.41583612060745
referee,9O78SYG8,1765,21,4,0,1.4,1.3,3,5,40,0,35.34984235024792,0.9364415371418,1.3826206860857786,79.57624373317641
referee,BYTQ330V,2161,21,4,0,1.4,1.3,3,5,40,0,35.560701655621635,0.9426947361230852,1.3605339254337645,78.86996011166583
referee,E6TEXADH,2558,21,4,0,1.4,1.3,3,5,40,0,35.75445690683592,0.9475451949238776,1.3383740160563136,78.56360278791676
referee,1P2L7QXN,2954,21,4,0,1.4,1.3,3,5,40,0,35.89070240722357,0.951102609336376,1.320088723677695,78.26798475261236
referee,C8QV9K2E,3350,21,4,0,1.4,1.3,3,5,40,0,36.021074561695585,0.9540416383743286,1.3047154833197483,78.00293481555319
referee,JGKKUF3B,3747,21,4,0,1.4,1.3,3,5,40,0,36.104365369339696,0.9564039009809494,1.293634520647977,77.69525641394362
referee,EB34AQ52,4143,21,4,0,1.4,1.3,3,5,40,0,36.1794964978936,0.9581961819529532,1.2825173430628232,77.46395401132018
referee,74FZ7YNT,4540,21,4,0,1.4,1.3,3,5,40,0,36.24164397023229,0.9597315368056296,1.2740466504298116,77.23014851380321
referee,1NZJALKW,4936,21,4,0,1.4,1.3,3,5,40,0,36.306226475207,0.9610333958268166,1.2645141235951505,77.02452179667853
referee,RURBSE33,5332,21,4,0,1.4,1.3,3,5,40,0,36.3614561178805,0.9621915072202682,1.2585450687841648,76.83946976106505
referee,S8V31RFZ,5729,21,4,0,1.4,1.3,3,5,40,0,36.41085799095276,0.9632687950134278,1.252423411993678,76.65085903245901
referee,K36V967L,6125,21,4,0,1.4,1.3,3,5,40,0,36.45938902609038,0.9641988947987556,1.2468141784531723,76.48446011055968
referee,H9K19M63,6522,21,4,0,1.4,1.3,3,5,40,0,36.5134276950328,0.9651908108592032,1.2416975797641658,76.31288433331237
referee,MQGW3D75,6918,21,4,0,1.4,1.3,3,5,40,0,36.5553696352056,0.9658881998062134,1.2370826052003765,76.19058665654472
referee,TIPL1M8K,7314,21,4,0,1.4,1.3,3,5,40,0,36.59435298936461,0.9665974098443983,1.2331622504470794,76.00688730352523
referee,MVI50RK7,7711,21,4,0,1.4,1.3,3,5,40,0,36.635491184856335,0.9672369316220284,1.2290874917427066,75.8733573044702
referee,O5KN8965,8107,21,4,0,1.4,1.3,3,5,40,0,36.66885848259209,0.967798597216606,1.2263065264935702,75.71415161991642
referee,ML1J5O9W,8504,21,4,0,1.4,1.3,3,5,40,0,36.70451002377781,0.968343949317932,1.2232361545358537,75.59043173014109
referee,7P2NJETP,8900,21,4,0,1.4,1.3,3,5,40,0,36.73793582026555,0.9688530707359314,1.220393507563566,75.46428459683263
referee,VA6B2VPJ,9296,21,4,0,1.4,1.3,3,5,40,0,36.77541009374804,0.9693289959430694,1.2174808415220946,75.33685431134391
referee,JGMZS71Z,9693,21,4,0,1.4,1.3,3,5,40,0,36.80517883885031,0.9697127944231032,1.215363454005176,75.23174960960253
referee,T5N70UBJ,10089,21,4,0,1.4,1.3,3,5,40,0,36.8404887011921,0.9701309725642204,1.2133360182687247,75.14053202776286
referee,L1XCYTTS,10486,21,4,0,1.4,1.3,3,5,40,0,36.86918575379104,0.970487667620182,1.2115262754809908,75.04121731319943
referee,T9357GA2,10882,21,4,0,1.4,1.3,3,5,40,0,36.90113502799976,0.9708443135023116,1.2097387275982867,74.9502715320679
referee,0XAQFZN9,11279,21,4,0,1.4,1.3,3,5,40,0,36.92871332443117,0.9711289963126184,1.2082663986776825,74.88376253088177
referee,M5IHK15U,11675,21,4,0,1.4,1.3,3,5,40,0,36.95796663003454,0.9714296838641168,1.2066269367436449,74.80509202824325
referee,36H5XW6C,12071,21,4,0,1.4,1.3,3,5,40,0,36.98316256412528,0.9716948252916336,1.20560812067483,74.76088964796435
referee,MYVSVWQ1,12468,21,4,0,1.4,1.3,3,5,40,0,37.01218462230548,0.9719611966609956,1.204410904995101,74.7131601794264
referee,361KA9EF,12864,21,4,0,1.4,1.3,3,5,40,0,37.04218930564357,0.9722308811545372,1.2034360847137997,74.65931203448203
referee,1YJ4UTT6,13261,21,4,0,1.4,1.3,3,5,40,0,37.07044189700551,0.9724763777852058,1.202054074411793,74.61696801253316
referee,CZK1HD57,13657,21,4,0,1.4,1.3,3,5,40,0,37.09888865577673,0.9726950740814208,1.2011237091096207,74.55811367780176
referee,FLWEB4E1,14053,21,4,0,1.4,1.3,3,5,40,0,37.122695411468186,0.9729070210456848,1.2000783615202837,74.51075082417245
referee,SN66ZEUM,14450,21,4,0,1.4,1.3,3,5,40,0,37.14877976020609,0.9731104984879494,1.1992850574059868,74.45882424702513
referee,QD2WQKOR,14846,21,4,0,1.4,1.3,3,5,40,0,37.169422153406735,0.973262586593628,1.1982977637494876,74.4144069545584
referee,DLN2UQST,15243,21,4,0,1.4,1.3,3,5,40,0,37.20036562396318,0.973502575457096,1.1973938218732274,74.37003390871858
referee,MSTSV9SD,15639,21,4,0,1.4,1.3,3,5,40,0,37.225362469947214,0.9737023478746414,1.19699347820608,74.33633694185644
referee,K16Y49XS,16035,21,4,0,1.4,1.3,3,5,40,0,37.24923110985779,0.9738746917247773,1.1959547519719085,74.30293073854259
referee,KRD4A6XK,16432,21,4,0,1.4,1.3,3,5,40,0,37.273462041744295,0.9740486785769462,1.1953253456852193,74.26182562214709
referee,N74M54SK,16828,21,4,0,1.4,1.3,3,5,40,0,37.30270107149529,0.9742544719576836,1.1944801022733222,74.21675095122346
referee,RYUCUC14,17225,21,4,0,1.4,1.3,3,5,40,0,37.3225158258429,0.9743947765231132,1.193950358192036,74.18341427832328
referee,HGYO33H8,17621,21,4,0,1.4,1.3,3,5,40,0,37.349442209887805,0.9745585972070694,1.1931790051279452,74.14319409446593
referee,0QMCN4L7,18017,21,4,0,1.4,1.3,3,5,40,0,37.37120146263633,0.974712623655796,1.1924321936630522,74.09464922380356
referee,BWXZRRRO,18414,21,4,0,1.4,1.3,3,5,40,0,37.39848893996614,0.9748725646734238,1.191935374952953,74.0599409054693
referee,41537C3D,18810,21,4,0,1.4,1.3,3,5,40,0,37.41485994988005,0.9749801790714264,1.1915736270498296,74.02470794855887
referee,V6MVF0U8,19207,21,4,0,1.4,1.3,3,5,40,0,37.44139152387552,0.9751584446430206,1.1906860073757293,73.99581490118938
referee,MPYBZ9L0,19603,21,4,0,1.4,1.3,3,5,40,0,37.46457111445473,0.9753017589449884,1.1903175260064596,73.94894508140273
referee,51VM1HXC,20000,21,4,0,1.4,1.3,3,5,40,0,37.48503221769511,0.9754287508130074,1.1900307064883795,73.91888897984029
cat,CPQKUVW5,576,21,4,0,1.4,1.3,3,5,40,0,30.187640806395684,0.7709305948019027,1.3358161409710825,60.891778123393095
cat,ABK1QETS,972,21,4,0,1.4,1.3,3,5,40,0,30.89952365162986,0.8565473118424416,1.326132841648146,57.14903180479146
cat,STXOW178,1368,21,4,0,1.4,1.3,3,5,40,0,31.390035451376743,0.8963619962334632,1.3002733511610105,55.36085494596698
cat,S7475MOW,1765,21,4,0,1.4,1.3,3,5,40,0,31.73833281396763,0.9183637833595276,1.2750340806893563,54.24351383955478
cat,XSZC9LO2,2161,21,4,0,1.4,1.3,3,5,40,0,31.991985615447422,0.9307337746024132,1.2600895519338011,53.49938038919966
cat,5ILOSD33,2558,21,4,0,1.4,1.3,3,5,40,0,32.19083120163986,0.9395236831903456,1.2501964639582148,52.96744744053807
cat,N82CU3AY,2954,21,4,0,1.4,1.3,3,5,40,0,32.3407961918613,0.9455374538898468,1.2396966323557197,52.585788678742
cat,X1RLFOYZ,3350,21,4,0,1.4,1.3,3,5,40,0,32.49394614728897,0.9506793978810312,1.2308096248518556,52.21952142216245
cat,M81D5Y8X,3747,21,4,0,1.4,1.3,3,5,40,0,32.6086689330234,0.954388136267662,1.2236732512529849,51.94378276423216
cat,4AMSXLR4,4143,21,4,0,1.4,1.3,3,5,40,0,32.71355548233294,0.957280479669571,1.2183766262648554,51.691930963884325
cat,RJ8OG4EQ,4540,21,4,0,1.4,1.3,3,5,40,0,32.810254234201814,0.9596903893351556,1.214389289168481,51.494622612617945
cat,12RZ0WYC,4936,21,4,0,1.4,1.3,3,5,40,0,32.90632160847131,0.9617014870047568,1.210035054188958,51.31778148676883
cat,ECGMZALI,5332,21,4,0,1.4,1.3,3,5,40,0,32.99167495347728,0.9634475201368332,1.2071976096635388,51.13262199506144
cat,AUM2ZYKG,5729,21,4,0,1.4,1.3,3,5,40,0,33.07263183035954,0.965014842748642,1.2044545606162012,50.98480665646255
cat,V28DR5BA,6125,21,4,0,1.4,1.3,3,5,40,0,33.137760862089586,0.9663523814082146,1.202378086488724,50.86309050679139
cat,ZE957UHH,6522,21,4,0,1.4,1.3,3,5,40,0,33.205382687634966,0.9676385644078256,1.2005598536680984,50.72821414608909
cat,NEYLZW18,6918,21,4,0,1.4,1.3,3,5,40,0,33.27768076208616,0.96876758903265,1.1987678635887398,50.60118208024252
cat,SLKZ4R2Z,7314,21,4,0,1.4,1.3,3,5,40,0,33.344472773505295,0.9697060146927834,1.1970907003700015,50.48235460321364
cat,JGBEE92Z,7711,21,4,0,1.4,1.3,3,5,40,0,33.41125404902531,0.9705449169874192,1.1954505271442313,50.3739124416142
cat,CT7ZFLIS,8107,21,4,0,1.4,1.3,3,5,40,0,33.471449297000945,0.9713615906238556,1.194633578971734,50.2724928517994
cat,G7PF8O87,8504,21,4,0,1.4,1.3,3,5,40,0,33.52836959443036,0.9720588448643684,1.1937270385388272,50.19684376168387
cat,6LI5IRSY,8900,21,4,0,1.4,1.3,3,5,40,0,33.589298002312056,0.972781108021736,1.192822326716354,50.10080961845817
cat,QM1M7OCO,9296,21,4,0,1.4,1.3,3,5,40,0,33.64431835078029,0.9734065183997154,1.1921909071665433,50.03884537794995
cat,NDX2G3F1,9693,21,4,0,1.4,1.3,3,5,40,0,33.69205524258799,0.9739488527178763,1.1914956882884042,49.97491532301776
cat,1RQLO40B,10089,21,4,0,1.4,1.3,3,5,40,0,33.74638567281775,0.9745192742347716,1.1910533260705842,49.92015064080177
cat,SAX8E2LT,10486,21,4,0,1.4,1.3,3,5,40,0,33.792343268500225,0.9749800372123718,1.190473327767092,49.86151121825819
cat,NB42MTS0,10882,21,4,0,1.4,1.3,3,5,40,0,33.83978614816222,0.975470055937767,1.1898680897929248,49.794528146069496
cat,RWAL887J,11279,21,4,0,1.4,1.3,3,5,40,0,33.88406542527407,0.9758890241384506,1.1895509216358402,49.75383389120955
cat,YP1KYRI1,11675,21,4,0,1.4,1.3,3,5,40,0,33.92283433637385,0.976277891099453,1.1892782269807762,49.70503618267916
cat,NNUT5FPD,12071,21,4,0,1.4,1.3,3,5,40,0,33.95993317212712,0.9766378259658812,1.1889568990106794,49.667097860580775
cat,WWHCCQLK,12468,21,4,0,1.4,1.3,3,5,40,0,33.993628060322706,0.9769447436928748,1.1888925747276191,49.6421111582724
cat,IN14WNVY,12864,21,4,0,1.4,1.3,3,5,40,0,34.026141779942265,0.9773007297515868,1.188307302919846,49.603957923986194
cat,JKUCR4Z1,13261,21,4,0,1.4,1.3,3,5,40,0,34.060342000041274,0.9775860673189164,1.1885361180513705,49.57174637959877
cat,VQO0JUE9,13657,21,4,0,1.4,1.3,3,5,40,0,34.094212418845004,0.977887073159218,1.1882357294966774,49.54373194382069
