Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max,PSNR(dB),SSIM,VIF,Compression Ratio (%)
cat,ZW5CXDJF,2048,12,4,12,1.4,1.3,3,5,40,0,37.21620957591804,0.9891474321484566,1.188218842942409,48.68251559772611
cat,7UMCCGT0,2048,37,4,12,1.4,1.3,3,5,40,0,31.2061291022638,0.8928783503174782,1.3095225446848562,55.53004140536137
cat,ME3YZR47,2048,50,4,12,1.4,1.3,3,5,40,0,29.564710574569144,0.6526204204559326,1.319310768094372,66.60321489670152
cat,9JIJMU7S,2048,0,4,16,1.4,1.3,3,5,40,0,39.77315675680209,0.995869827568531,1.191416643217498,49.28416858849784
cat,OQ2TZTXT,2048,12,4,16,1.4,1.3,3,5,40,0,37.23121272420183,0.9890946239233016,1.1886142527001673,48.71025823279604
cat,EK7FIZAW,2048,37,4,16,1.4,1.3,3,5,40,0,31.202592781246484,0.8928546118736267,1.3039959430269945,55.536653115610434
cat,327MO5R2,2048,50,4,16,1.4,1.3,3,5,40,0,29.565191570005855,0.6529063418507576,1.316463876328899,66.65846629181347
american_football,Q0Y7RNPU,2048,0,4,0,1.4,1.3,3,5,40,0,40.69231519514391,0.9947083568573,1.1713644397882816,63.707115142049055
american_football,AVKC05JO,2048,12,4,0,1.4,1.3,3,5,40,0,38.623140621354224,0.9849008345603942,1.1686193387119257,63.06503969712551
american_football,JGZ16AYG,2048,37,4,0,1.4,1.3,3,5,40,0,33.40528580361347,0.9319091954827308,1.2852504022804063,79.88841000694356
american_football,R5OLGTNK,2048,50,4,0,1.4,1.3,3,5,40,0,30.607530283333176,0.8500026524066925,1.6902850974408243,86.19808013885856
american_football,LFLTBPSK,2048,0,4,4,1.4,1.3,3,5,40,0,40.69231519514391,0.9947083568573,1.1713644397882816,63.707115142049055
american_football,HVACR7PT,2048,12,4,4,1.4,1.3,3,5,40,0,38.33261015091849,0.9829027074575424,1.1688114826782303,63.31321902744018
american_football,RIVA66FO,2048,37,4,4,1.4,1.3,3,5,40,0,34.064746494926524,0.936333841085434,1.227621156590866,80.76562466913794
american_football,DSZ08REG,2048,50,4,4,1.4,1.3,3,5,40,0,31.254528720332814,0.8610097390413284,1.4511282080050842,86.11783572049153
american_football,5GW7319G,2048,0,4,12,1.4,1.3,3,5,40,0,40.69231519514391,0.9947083568573,1.1713644397882816,63.707115142049055
american_football,WFLZR8G1,2048,12,4,12,1.4,1.3,3,5,40,0,38.292851871455575,0.9824331265687942,1.168460100920128,63.39526491561694
american_football,PK1CHOWP,2048,37,4,12,1.4,1.3,3,5,40,0,33.870510629993966,0.9368975070118905,1.215907797578926,80.80427093726682
american_football,CU40P82H,2048,50,4,12,1.4,1.3,3,5,40,0,31.474213052010235,0.863709133863449,1.350956749486388,86.5101832031587
american_football,HRBBM850,2048,0,4,16,1.4,1.3,3,5,40,0,40.69231519514391,0.9947083568573,1.1713644397882816,63.707115142049055
american_football,89PY7HTP,2048,12,4,16,1.4,1.3,3,5,40,0,38.29983776587044,0.9823897224664688,1.1687110158440206,63.39820415583283
american_football,HIFIHIVP,2048,37,4,16,1.4,1.3,3,5,40,0,33.87279245787828,0.9371391499042512,1.2114955340631637,81.21355223614552
american_football,AJUONFXN,2048,50,4,16,1.4,1.3,3,5,40,0,31.472782933343,0.8639304715394974,1.3656016021728496,86.5154359098671
wheel,BPKQLY72,2048,0,4,0,1.4,1.3,3,5,40,0,40.50567349226071,0.995185844898224,1.1891922327434394,63.76549540577792
wheel,R1VWDA0H,2048,12,4,0,1.4,1.3,3,5,40,0,38.51887052784274,0.9857268145680428,1.186384223633915,63.00887176474195
wheel,161NJ3MN,2048,37,4,0,1.4,1.3,3,5,40,0,32.92561909065727,0.9203530117869376,1.3437837610925738,78.08402624077813
wheel,A1SLSKZF,2048,50,4,0,1.4,1.3,3,5,40,0,29.89479863511474,0.8330839845538139,1.6088901432544112,85.59800106381535
wheel,I5TQLU1P,2048,0,4,4,1.4,1.3,3,5,40,0,40.50567349226071,0.995185844898224,1.1891922327434394,63.76549540577792
wheel,8S08J5B8,2048,12,4,4,1.4,1.3,3,5,40,0,38.25599254153949,0.9836908721923828,1.1864599765349266,63.206047376127614
