Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,Blurring,VIF,Compression Ratio (%)
referee,E9Q821ZN,5184,12,4,0,1.4,1.3,1,5,10,36.23068713709104,0.9617506650090216,89.97529257812499,19.154654876395597,4.245090170101214,5.939862425250765,79.31516335064536
referee,KEYBWKI7,14016,12,4,0,1.4,1.3,1,5,10,36.934487130903705,0.9731509727239608,86.30644765263314,14.783293918349552,3.998242902894125,5.851448400527263,76.6743982379729
referee,HYXPRG2B,20000,12,4,0,1.4,1.3,1,5,10,37.23260945351866,0.976005097925663,84.67781051552856,12.712520234784712,3.955881463041659,5.777688444412295,75.90276866946917
referee,75RXZCWY,576,12,4,0,1.4,1.3,1,5,40,32.98263177056207,0.8929899582266807,92.96036079764664,21.835663809604394,6.812275721418039,6.021037404353142,86.59502294977723
referee,6YDGDGCP,5184,12,4,0,1.4,1.3,1,5,40,36.21260342062568,0.961432557106018,89.99656226610722,19.10030675135133,4.24536229556373,5.937560159465022,79.3826710614102
referee,S918UIF0,14016,12,4,0,1.4,1.3,1,5,40,36.919734356432976,0.9728973484039308,86.44098573133682,14.709264135371392,3.998301891779093,5.848595618730712,76.73660899540246
referee,G57MHWOU,20000,12,4,0,1.4,1.3,1,5,40,37.23318508783776,0.9759708455204964,84.6963436692226,12.569494670534912,3.9550510480867542,5.77074825585134,75.92216765489401
referee,7R4QVERD,576,12,4,0,1.4,1.3,1,5,250,33.010310279135375,0.8933851966261863,90.47738302348571,21.823613465385865,6.820444610617807,6.011813375289352,86.73070207071054
referee,QAO4OEST,5184,12,4,0,1.4,1.3,1,5,250,36.19814867290591,0.9610400003194808,90.00240250289353,19.105031231693,4.253965984739012,5.937524537840788,79.41577385928244
referee,J5AACQU0,14016,12,4,0,1.4,1.3,1,5,250,36.93318486044268,0.9731167298555374,86.31278244960458,14.64707441485086,3.995682807307211,5.8487151781121405,76.66953742995996
referee,OIZQ35Z7,20000,12,4,0,1.4,1.3,1,5,250,37.23266216277134,0.9759917974472044,84.65563937717016,12.582088908773642,3.953863968394336,5.774957434735083,75.88941883003702
referee,0KHC6CP1,576,37,4,0,1.4,1.3,1,5,0,32.928724581255345,0.8880038663744927,92.91398426649307,21.708476849589303,8.341635417425268,5.99462260159465,87.94173224912241
referee,QK3EZ3AM,5184,37,4,0,1.4,1.3,1,5,0,36.18721840172913,0.9603817698359488,90.2958317961516,19.88850577246928,4.3088693812257,5.953195220068153,79.59107267413656
referee,VF123WAQ,14016,37,4,0,1.4,1.3,1,5,0,36.87333263105356,0.9726923230290412,86.5064644205729,15.765936693313677,4.011053029754686,5.88349544833462,76.7071786675634
referee,A93VSKOQ,20000,37,4,0,1.4,1.3,1,5,0,37.16282073187982,0.9756807863712312,85.03583873215659,13.835936585606454,3.9641722625291376,5.822897473797581,75.8847982179987
referee,PTCWNCUL,576,37,4,0,1.4,1.3,1,5,10,33.147685346704826,0.8940755400061607,90.4148239076968,21.882028852073145,6.816234513224388,6.020904324202673,86.56517543945593
referee,TAJE6LB8,5184,37,4,0,1.4,1.3,1,5,10,36.22578357936942,0.9616577190160752,90.03728875868057,19.169600614943263,4.247637234243553,5.940214080986367,79.33063702816898
referee,8XL4T6NI,14016,37,4,0,1.4,1.3,1,5,10,36.93421729483422,0.973173190653324,86.26903033251348,14.776646651108964,3.9968854762100423,5.851583060860337,76.6690886427442
referee,RB9GNTCI,20000,37,4,0,1.4,1.3,1,5,10,37.23587666406362,0.9760146689414978,84.6793128194927,12.683100863632532,3.9557762728093433,5.774154460841049,75.91153582254321
referee,IF7KYHQA,576,37,4,0,1.4,1.3,1,5,40,32.97821146664554,0.893136251270771,93.33717569806134,21.831337850036803,6.803968965789828,6.022769111689817,86.54733140691947
referee,JWXQYXW2,5184,37,4,0,1.4,1.3,1,5,40,36.21086753004183,0.9612261870503426,90.0123323085455,19.09897671754789,4.2485407447867445,5.936200336773407,79.4154009234271
referee,O9DJOAAM,14016,37,4,0,1.4,1.3,1,5,40,36.92474605231623,0.9730082708597184,86.3438697482639,14.64435611370658,3.996533765345262,5.846247440039868,76.71373981023886
referee,48LL6RO2,20000,37,4,0,1.4,1.3,1,5,40,37.22847115048066,0.9759440383315088,84.69534911988814,12.596512813855565,3.9556546192171806,5.772542214023922,75.92577691546019
referee,T7N7WKI6,576,37,4,0,1.4,1.3,1,5,250,33.002410420651,0.8931497594714165,91.07261894169557,21.83593261500147,6.8421065828866965,6.011373172260802,86.67105761764151
referee,5VG33DE7,5184,37,4,0,1.4,1.3,1,5,250,36.20831602197276,0.9611323124170305,89.97781290629823,19.099021585419145,4.249854116019509,5.9356529063786,79.4214563903665
referee,P3S2Q6IW,14016,37,4,0,1.4,1.3,1,5,250,36.92830191144616,0.9730633941292762,86.34187459490732,14.703500839469111,3.99621924627448,5.84961480758102,76.68035889071177
