Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,MZGJ2VJR,18937,21,4,0,1.4,1.3,3,5,40,0,37.42452563407205,0.9750472828745842,1.191331511944003,74.01850709984535
referee,BZ5UKN27,20000,21,4,0,1.4,1.3,3,5,40,0,37.4840958295444,0.9754176026582718,1.1899624572332328,73.92711885244478
ant,UH5JF5CG,576,21,4,0,1.4,1.3,3,5,40,0,31.40529798984015,0.9293556335568428,0.9898559712801596,90.45806320504236
ant,GRBBUVIG,1588,21,4,0,1.4,1.3,3,5,40,0,33.194403385035514,0.9351754209399225,1.446307424115994,89.94886038071694
ant,ALAK13GR,2605,21,4,0,1.4,1.3,3,5,40,0,33.39170831141642,0.9362063497304915,1.47388182007961,87.74663622920133
ant,WDSSP4UE,3622,21,4,0,1.4,1.3,3,5,40,0,33.47804479751338,0.9365877231955528,1.472560775718095,85.46584903114109
ant,60XBTX1A,4634,21,4,0,1.4,1.3,3,5,40,0,33.53322144260642,0.936733194887638,1.4656447206087002,83.83871093141362
ant,L70JH35T,5651,21,4,0,1.4,1.3,3,5,40,0,33.6009766839171,0.9368972253799438,1.4622475734069094,82.50600252901077
ant,7LAZ4X4R,6663,21,4,0,1.4,1.3,3,5,40,0,33.66271225791108,0.9370237609744072,1.4552440334811552,81.36544458536645
ant,JGEM2ZVT,7680,21,4,0,1.4,1.3,3,5,40,0,33.705440841093946,0.9370856755971908,1.4482139220518389,80.35159633928693
ant,LO88JOGJ,8692,21,4,0,1.4,1.3,3,5,40,0,33.749735646400296,0.9371838474273682,1.4390525912795358,79.51103052606395
ant,7806DLHF,9709,21,4,0,1.4,1.3,3,5,40,0,33.7983567760951,0.9372904777526856,1.4365903098996595,78.63394860375028
ant,QEGYP1XI,10721,21,4,0,1.4,1.3,3,5,40,0,33.84559817998904,0.937442909181118,1.4381951859638389,77.98444604645327
ant,EL3UJ48K,11738,21,4,0,1.4,1.3,3,5,40,0,33.88559053016031,0.9376182124018668,1.4346891153842298,77.41238140718811
