Sequence,Video ID,PSNR(dB),SSIM,VIF,Compression Ratio (%)
wheel,H4HX7M0D,33.636093472300715,0.9281449007987976,1.2625279439055896,80.12379574113574
wheel,QW9BFYEW,40.505673492260705,0.9951858448982239,1.1891922327434394,63.76549540577792
wheel,95EFK79L,31.212606685899733,0.848173454105854,1.3906053116874895,85.9972446993331
wheel,K4WEL95W,38.22938571061865,0.9832814767956733,1.186229194422586,63.264187443881845
wheel,I5TQLU1P,40.505673492260705,0.9951858448982239,1.1891922327434394,63.76549540577792
wheel,1GKI544H,38.23398988062474,0.9832734906673432,1.1863550774875882,63.31120896638931
wheel,VHOZZZS8,40.505673492260705,0.9951858448982239,1.1891922327434394,63.76549540577792
wheel,BPKQLY72,40.505673492260705,0.9951858448982239,1.1891922327434394,63.76549540577792
wheel,R1VWDA0H,38.51887052784274,0.9857268145680428,1.186384223633915,63.00887176474195
wheel,CWBWN1ED,31.23454018020339,0.8503267052769661,1.3823422615708187,86.37395415986244
wheel,0SYFC5CE,33.599804657996685,0.9272567296028137,1.268766140347771,79.34083271519742
runberk,SKSTSZJZ,34.189499639574244,0.9389426738023758,1.3561050593393873,79.49363528074326
runberk,NE04687M,41.122328646052075,0.9960386663675308,1.1838568937055438,67.94412156697533
runberk,WUNM4BRK,38.7182467901968,0.986097754240036,1.184231739690339,67.32829069275364
runberk,ROF9A6U2,32.11927518656367,0.8614061141014099,1.3421423137536865,85.57388665215167
runberk,FZPTXCDI,39.003671453717374,0.9880600437521935,1.1806003421920641,67.0832655148427
runberk,XLYKGV0I,41.122328646052075,0.9960386663675308,1.1838568937055438,67.94412156697533
runberk,HEXNB9ZV,34.063716943130856,0.9399758207798005,1.3216598714256633,80.0647960246302
runberk,8N2S1JMC,41.122328646052075,0.9960386663675308,1.1838568937055438,67.94412156697533
runberk,RH0GYE6J,33.664868016973045,0.9366054770350456,1.3120949043268484,77.20905551466254
runberk,KV09TGPZ,38.658931336472236,0.9856228670477867,1.1831756948061511,67.31277276860311
runberk,W8NK6ALD,31.545406017625933,0.8611317530274392,1.3252628611902189,85.0307529859362
runberk,1PBFXVOZ,41.122328646052075,0.9960386663675308,1.1838568937055438,67.94412156697533
runberk,4IU77F3L,32.11083131907797,0.8612857812643051,1.3708612523821706,85.43935794351792
runberk,J2ZHNJ3Q,38.64594755094566,0.9855607694387436,1.1826529762318194,67.28355735295186
runberk,5KTK5DP1,32.12259748872091,0.8615912395715714,1.324935975897164,85.72039355478348
runberk,64Z53COB,34.0472654157127,0.9402195325493813,1.3086632146166703,80.19455873945151
ant,VHDLLPPF,31.571036498650802,0.9273977857828141,0.7558517661740705,88.74430285172672
ant,PXSIPPFH,38.63636380630548,0.9773668321967125,1.144688742680637,60.20225133158643
ant,IQAOYL1Z,31.571036498650802,0.9273977857828141,0.7558517661740705,88.74430285172672
ant,XP1LXQ4L,32.69849375323293,0.9347171145677566,1.3583122133248258,89.83457766436594
ant,MZZ8G5A7,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,XLXQ4GJH,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,QHTQ1HAO,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,U653LQZ6,38.64167638424704,0.9774140059947968,1.144591578027141,60.19703655055826
ant,M71MWCB7,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,EBN412TH,38.63636380630548,0.9773668321967125,1.144688742680637,60.20225133158643
ant,GH98LIG7,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,B3259L3H,32.69849375323293,0.9347171145677566,1.3583122133248258,89.83457766436594
ant,SFB8LXUO,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,L4ZJEJAU,31.560185920663614,0.9273943534493446,0.7121973713220016,88.7542330589937
ant,G9PG3KLJ,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
ant,BECPV6SX,32.688950549605586,0.9347440129518509,1.374235720063062,89.87262344255824
misato,JHFBS669,29.559413765193867,0.6798161342740059,1.3271303414147206,72.9982178090777
misato,JP6CIOO9,30.85476581816087,0.8715023657679558,1.2358353371003024,61.70614361254114
misato,2I2WNWZ1,39.543015139456976,0.9931729066371918,1.202226557631521,52.31618766005822
misato,DRHCLRO8,39.543015139456976,0.9931729066371918,1.202226557631521,52.31618766005822
misato,OBSXY2TV,39.543015139456976,0.9931729066371918,1.202226557631521,52.31618766005822
misato,Y358OZOO,37.05296974694915,0.9842705860733986,1.19835270949662,51.86357627154534
misato,G9292WZ9,39.543015139456976,0.9931729066371918,1.202226557631521,52.31618766005822
misato,WW4FC4JZ,37.42475297963138,0.9869163742661476,1.196236830699294,51.77259888568031
misato,04HP5CDH,37.02766712500802,0.9835843312740326,1.1973495349047183,51.899498211646154
misato,0SFBHXF8,29.541448321271655,0.6779473724961281,1.3228740051290535,72.61044669182193
misato,P1NGJMVK,30.911620309870294,0.8716140049695968,1.2481934865389988,61.29006729595905
misato,L40WZV6L,30.881420883285692,0.871857393682003,1.2340918160706886,61.94953166525657
misato,JZJBXWFV,30.929629489553257,0.8725535744428634,1.2363483054158726,61.980333638529714
misato,3U4NCFWT,37.0294760138552,0.9834750652313232,1.1972413068036927,51.91650155827139
misato,6XKZLTMH,29.523855367514567,0.6721398296952248,1.271169905919222,71.9645786788779
misato,JXDDMB5M,29.580836937796203,0.6797599044442176,1.3274482149953883,72.96349684885006
duck,ZJUS9C6S,32.02933947085002,0.8731835436820984,1.3093403139391748,66.81826614535713
duck,DY2S7E15,38.43732435194731,0.985116935968399,1.1968091946583197,58.78198517548371
duck,V99QFARR,38.43732435194731,0.985116935968399,1.1968091946583197,58.78198517548371
duck,FR8BLLNI,41.328311133640845,0.9957070186734199,1.1973575694271632,58.93213926436191
duck,F87WXFI7,29.666048007138635,0.6857775887846946,1.472259524046986,74.15040629465157
duck,8BIO1106,39.002619671855236,0.98792301684618,1.1943815412416674,58.640990138375
duck,5WNITK8Q,32.180931812528435,0.8707809400558472,1.3337794532851839,68.00819700368163
duck,OBU3DQ6R,41.328311133640845,0.9957070186734199,1.1973575694271632,58.93213926436191
duck,CMWJBKJB,29.90180474355748,0.6927439376711846,1.6359419846566243,75.59146204445332
duck,QHMJCSEC,32.180931812528435,0.8707809400558472,1.3337794532851839,68.00819700368163
duck,C19IXTI1,38.484803797222376,0.985305178463459,1.1970596805756126,58.79536029870266
duck,ZJYQQTAO,29.973041395610416,0.6932635426521301,1.6114937706714838,75.99350585935957
duck,1B90I8SV,29.973041395610416,0.6932635426521301,1.6114937706714838,75.99350585935957
duck,42FN6N9S,41.328311133640845,0.9957070186734199,1.1973575694271632,58.93213926436191
duck,DM8DJ4KB,32.17351864892444,0.8717803657054901,1.3467451131347528,68.00065611426756
duck,ZFF20L53,41.328311133640845,0.9957070186734199,1.1973575694271632,58.93213926436191
