Sequence,Video ID,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,MPYBZ9L0,37.46457111445473,0.9753017589449883,1.1903175260064596,73.94894508140273
referee,BYTQ330V,35.560701655621635,0.9426947361230851,1.3605339254337645,78.86996011166583
referee,N74M54SK,37.30270107149529,0.9742544719576836,1.1944801022733222,74.21675095122346
referee,T9357GA2,36.901135027999764,0.9708443135023117,1.2097387275982867,74.9502715320679
referee,MATB68OX,33.76979287873241,0.8913618367910385,1.440693542449867,83.33893895956585
referee,51VM1HXC,37.48503221769511,0.9754287508130074,1.1900307064883797,73.91888897984029
referee,MQGW3D75,36.5553696352056,0.9658881998062134,1.2370826052003765,76.19058665654472
referee,V6MVF0U8,37.44139152387552,0.9751584446430206,1.1906860073757293,73.99581490118938
referee,TIPL1M8K,36.59435298936461,0.9665974098443985,1.2331622504470794,76.00688730352523
referee,9O78SYG8,35.34984235024792,0.9364415371417999,1.3826206860857786,79.57624373317641
referee,RURBSE33,36.3614561178805,0.9621915072202682,1.2585450687841648,76.83946976106505
referee,74FZ7YNT,36.24164397023229,0.9597315368056297,1.2740466504298116,77.23014851380321
referee,K16Y49XS,37.24923110985779,0.9738746917247773,1.1959547519719085,74.30293073854259
referee,JGKKUF3B,36.104365369339696,0.9564039009809494,1.293634520647977,77.69525641394362
referee,41537C3D,37.414859949880054,0.9749801790714264,1.1915736270498296,74.02470794855887
referee,361KA9EF,37.04218930564357,0.9722308811545372,1.2034360847137995,74.65931203448203
referee,MSTSV9SD,37.225362469947214,0.9737023478746414,1.19699347820608,74.33633694185644
referee,CZK1HD57,37.09888865577673,0.9726950740814209,1.2011237091096207,74.55811367780176
referee,PRNTGM0Z,34.97592483129757,0.9272928938269616,1.4088576051442105,80.41583612060745
referee,K36V967L,36.45938902609038,0.9641988947987556,1.2468141784531723,76.48446011055968
referee,O5KN8965,36.66885848259209,0.9677985972166061,1.2263065264935702,75.71415161991642
referee,MVI50RK7,36.635491184856335,0.9672369316220284,1.2290874917427066,75.8733573044702
referee,L1XCYTTS,36.86918575379104,0.970487667620182,1.2115262754809908,75.04121731319943
referee,SN66ZEUM,37.14877976020609,0.9731104984879494,1.1992850574059868,74.45882424702513
referee,JGMZS71Z,36.80517883885031,0.9697127944231033,1.215363454005176,75.23174960960253
referee,36H5XW6C,36.98316256412528,0.9716948252916336,1.2056081206748301,74.76088964796435
referee,FLWEB4E1,37.122695411468186,0.9729070210456848,1.2000783615202837,74.51075082417245
referee,S8V31RFZ,36.41085799095276,0.9632687950134278,1.252423411993678,76.65085903245901
referee,C8QV9K2E,36.021074561695585,0.9540416383743286,1.3047154833197485,78.00293481555319
referee,MYVSVWQ1,37.01218462230548,0.9719611966609955,1.204410904995101,74.7131601794264
referee,1NZJALKW,36.306226475207,0.9610333958268166,1.2645141235951505,77.02452179667853
referee,0XAQFZN9,36.92871332443117,0.9711289963126183,1.2082663986776825,74.88376253088177
referee,E6TEXADH,35.75445690683592,0.9475451949238777,1.3383740160563136,78.56360278791676
referee,HGYO33H8,37.349442209887805,0.9745585972070694,1.1931790051279452,74.14319409446593
referee,0QMCN4L7,37.37120146263633,0.974712623655796,1.1924321936630522,74.09464922380356
referee,1P2L7QXN,35.89070240722357,0.9511026093363761,1.320088723677695,78.26798475261236
referee,RYUCUC14,37.3225158258429,0.9743947765231132,1.193950358192036,74.18341427832328
referee,H9K19M63,36.5134276950328,0.9651908108592033,1.2416975797641658,76.31288433331237
referee,BWXZRRRO,37.39848893996614,0.9748725646734238,1.191935374952953,74.0599409054693
referee,EB34AQ52,36.179496497893595,0.9581961819529533,1.2825173430628232,77.46395401132018
referee,DLN2UQST,37.20036562396318,0.9735025754570961,1.1973938218732274,74.37003390871858
referee,M5IHK15U,36.95796663003454,0.9714296838641167,1.2066269367436449,74.80509202824325
referee,T5N70UBJ,36.8404887011921,0.9701309725642204,1.2133360182687247,75.14053202776286
referee,6QABLU1W,34.32997858356557,0.9140849861502648,1.4420034645654842,81.40447643124406
referee,KRD4A6XK,37.273462041744295,0.9740486785769462,1.1953253456852193,74.26182562214709
referee,1YJ4UTT6,37.07044189700551,0.9724763777852058,1.2020540744117927,74.61696801253316
referee,ML1J5O9W,36.704510023777814,0.9683439493179321,1.2232361545358537,75.59043173014109
referee,VA6B2VPJ,36.77541009374804,0.9693289959430694,1.2174808415220946,75.33685431134391
referee,7P2NJETP,36.73793582026555,0.9688530707359314,1.2203935075635661,75.46428459683263
referee,QD2WQKOR,37.169422153406735,0.973262586593628,1.1982977637494876,74.4144069545584
cat,CPQKUVW5,30.187640806395684,0.7709305948019027,1.3358161409710823,60.891778123393095
cat,JKUCR4Z1,34.060342000041274,0.9775860673189163,1.1885361180513705,49.57174637959877
cat,X1RLFOYZ,32.49394614728897,0.9506793978810311,1.2308096248518556,52.219521422162444
cat,NL6PQC9U,34.50324587661936,0.980880997478962,1.1855234107307178,49.1978054937244
cat,8O1WXWO5,34.18301683755706,0.9786485770344734,1.187465011824031,49.46157227860331
cat,NDX2G3F1,33.69205524258799,0.9739488527178765,1.1914956882884042,49.97491532301776
cat,NEYLZW18,33.27768076208616,0.96876758903265,1.1987678635887398,50.60118208024252
cat,OCQJ90MC,34.270756263461976,0.9793049749732018,1.186744437610467,49.37879948155596
cat,79JM0Y9C,34.23740485395743,0.9790324974060058,1.1869370642682788,49.40606172467663
cat,ZE957UHH,33.205382687634966,0.9676385644078255,1.2005598536680984,50.72821414608909
cat,G7PF8O87,33.52836959443036,0.9720588448643684,1.1937270385388272,50.19684376168387
cat,HVY5JGQY,34.40093725935348,0.9802301758527756,1.1860471241405615,49.2656039680375
cat,S7475MOW,31.73833281396763,0.9183637833595276,1.2750340806893565,54.24351383955478
cat,WWHCCQLK,33.993628060322706,0.9769447436928749,1.1888925747276193,49.6421111582724
cat,YP1KYRI1,33.92283433637385,0.976277891099453,1.1892782269807762,49.70503618267916
cat,SAX8E2LT,33.792343268500225,0.9749800372123718,1.190473327767092,49.86151121825819
cat,N82CU3AY,32.3407961918613,0.9455374538898468,1.2396966323557195,52.585788678742
cat,NNUT5FPD,33.95993317212712,0.9766378259658813,1.1889568990106794,49.667097860580775
cat,M81D5Y8X,32.6086689330234,0.9543881362676621,1.2236732512529847,51.94378276423216
