Sequence,Video ID,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,AJ9HNJ4J,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,5EZ90MF3,36.22021200310551,0.9639369001984597,1.2260744371682182,76.93551654618416
referee,2CVBBZ83,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
referee,FHQJ1BIC,36.22021200310551,0.9639369001984597,1.2260744371682182,76.93551654618416
referee,7C5M5WRL,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,MDQDM4ZJ,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
referee,MOP97JH8,36.22021200310551,0.9639369001984597,1.2260744371682182,76.93551654618416
referee,D5FIPV04,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,8ZG43FU8,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,F3WA0DVD,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,9K7N1XMY,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,NGYIPTSM,36.22021200310551,0.9639369001984597,1.2260744371682182,76.93551654618416
referee,92N39Z71,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,4KAVX07A,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,FZVJQDTH,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
referee,JV8L7AFP,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,G92UTJ59,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,IGW37W6Y,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
referee,BO9AHCJW,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,KVTJ0KJ9,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,Q8VQGQHQ,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,N2EHFH5L,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,XH5AI2TY,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,5IC1FE0Q,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,4L5TU4MF,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,IIHEFQRQ,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
referee,1HZ1VNK6,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
referee,E6Y2JXG9,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
referee,IJ2K0338,36.22021200310551,0.9639369001984597,1.2260744371682182,76.93551654618416
referee,T6HKJB0S,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,N2P68ZN5,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,OBT8UE19,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
referee,N5A4VG8W,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,E3RGP65R,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,FD8CG37B,36.22021200310551,0.9639369001984597,1.2260744371682182,76.93551654618416
referee,39O3V4CV,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,YOLUAJM9,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,P5UCE16J,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,NG6VXJ4H,36.22021200310551,0.9639369001984597,1.2260744371682182,76.93551654618416
referee,CHLJG3Z0,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
referee,7VTNC9E4,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,HXB1F6DK,36.22021200310551,0.9639369001984597,1.2260744371682182,76.93551654618416
referee,1N9LIT3N,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,FSVGV87U,36.22021200310551,0.9639369001984597,1.2260744371682182,76.93551654618416
referee,Q020XTBT,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,YUZ8JV67,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,NLGWPMBN,36.22021200310551,0.9639369001984597,1.2260744371682182,76.93551654618416
referee,9EF8ACL8,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,XVH53SX8,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,HSUDJTLI,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
ant,VE95N3ZZ,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,CHQHECWI,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,0JRG2HF1,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,3O546R8H,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,QVRURSYO,34.42278721691312,0.9400245881080628,1.3876294550529613,71.49751128526022
ant,QL1Y4C40,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,TN8H0WOD,34.42278721691312,0.9400245881080628,1.3876294550529613,71.49751128526022
ant,JUOH2F0M,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,KVHJWX2F,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,7DX8OSTX,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
ant,TT1XI4T0,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,TJEZ292Z,34.42278721691312,0.9400245881080628,1.3876294550529613,71.49751128526022
ant,LJY4B60P,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,SLDXUODM,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,7UXGLHBZ,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
ant,MFYU987E,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,PGMH6H77,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,S7LA4CBL,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,UXCHBLXQ,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,XXVHWB2H,34.42278721691312,0.9400245881080628,1.3876294550529613,71.49751128526022
ant,WGOQ4JPK,34.42278721691312,0.9400245881080628,1.3876294550529613,71.49751128526022
ant,CH351AEW,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,26POT0T9,34.42278721691312,0.9400245881080628,1.3876294550529613,71.49751128526022
ant,0N0WE3EC,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,TCE3LMCF,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,EUALPHFT,34.42278721691312,0.9400245881080628,1.3876294550529613,71.49751128526022
ant,5JUTJUBH,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,5HQRGK67,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,W59KWGB7,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
ant,ESITJHCY,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,DS3LPNQH,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,5Z5ST6LU,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
ant,TUH51DGN,34.42278721691312,0.9400245881080628,1.3876294550529613,71.49751128526022
ant,7YS0ILZT,39.19086546130687,0.9810117980837822,1.1619809476225642,59.91015406359441
ant,43EI1GF4,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
ant,LINQ8OCC,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,9NMZWEJ9,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
ant,3SSE1866,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
ant,GA0TA1PJ,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,M54LPF28,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,HNVXI4U5,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,ZCJOB7OS,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
ant,APBBW8IH,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,14UP0CJN,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,IHU82NPC,34.42278721691312,0.9400245881080628,1.3876294550529613,71.49751128526022
ant,NEVD1J94,40.97600675713478,0.9897990915179252,1.1507586252635502,59.419800302330884
ant,RTEE7W95,31.69378767253274,0.929187944829464,0.9895845055444725,89.78513521927206
ant,VHV69N4C,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
ant,10BUYBTS,34.42278721691312,0.9400245881080628,1.3876294550529613,71.49751128526022
ant,AAF0LEN0,33.39631825577646,0.9364587333798409,1.5522400174660413,90.62693361710171
misato,J1XHZGWL,39.543015139456976,0.9931729066371918,1.202226557631521,52.31618766005822
misato,CQ8PBQUV,32.462568903764726,0.9428440639376641,1.2300032250960213,55.338643139260256
misato,R0I24102,30.911620309870294,0.8716140049695968,1.2481934865389988,61.29006729595905
misato,XT255FFK,29.523855367514567,0.6721398296952248,1.271169905919222,71.9645786788779
misato,J3N78N54,37.42475297963138,0.9869163742661476,1.196236830699294,51.77259888568031
misato,IPOP68YE,32.462568903764726,0.9428440639376641,1.2300032250960213,55.338643139260256
misato,ZYC15NHE,29.523855367514567,0.6721398296952248,1.271169905919222,71.9645786788779
misato,WK3XYPYB,32.462568903764726,0.9428440639376641,1.2300032250960213,55.338643139260256
misato,XP6RUF1J,37.42475297963138,0.9869163742661476,1.196236830699294,51.77259888568031
misato,JCIOXCVH,30.911620309870294,0.8716140049695968,1.2481934865389988,61.29006729595905
misato,5N2C50GT,32.462568903764726,0.9428440639376641,1.2300032250960213,55.338643139260256
misato,7UJPTQWZ,39.543015139456976,0.9931729066371918,1.202226557631521,52.31618766005822
misato,OIHDLMIX,32.462568903764726,0.9428440639376641,1.2300032250960213,55.338643139260256
misato,5J94TAD1,30.911620309870294,0.8716140049695968,1.2481934865389988,61.29006729595905
misato,RDAKW8WT,37.42475297963138,0.9869163742661476,1.196236830699294,51.77259888568031
misato,UI3K4FZ0,39.543015139456976,0.9931729066371918,1.202226557631521,52.31618766005822
misato,VZRDQH3K,29.523855367514567,0.6721398296952248,1.271169905919222,71.9645786788779
misato,NUFXO2PQ,29.523855367514567,0.6721398296952248,1.271169905919222,71.9645786788779
misato,BZSD1V3H,29.523855367514567,0.6721398296952248,1.271169905919222,71.9645786788779
misato,QH990354,39.543015139456976,0.9931729066371918,1.202226557631521,52.31618766005822
misato,SANGJCKC,32.462568903764726,0.9428440639376641,1.2300032250960213,55.338643139260256
misato,PWOSX4YT,32.462568903764726,0.9428440639376641,1.2300032250960213,55.338643139260256
misato,0FYPAJH8,30.911620309870294,0.8716140049695968,1.2481934865389988,61.29006729595905
