Sequence,Video ID,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,IUVPTSAG,36.108495346309866,0.9663374888896942,1.2424648966294043,75.96297568679456
referee,SMUPRWSJ,37.1765558385513,0.9764414155483245,1.2001543507068075,73.95489309224821
referee,UV7S8TI8,32.48424920820858,0.8806510424613953,1.5274779591769618,87.62122864665687
referee,ORCQFGS7,36.11301656545006,0.9663134336471557,1.24359666533518,75.98711538224504
referee,A4GNOLME,32.48731647033817,0.8809270671010018,1.513999192556901,87.58298691911686
referee,VXACFOTZ,35.67905178494849,0.9608081772923469,1.2715821896661383,77.19978900679912
referee,PNLT0BLR,35.68094690075905,0.9608391141891479,1.2701695370059718,77.22160891481039
ant,HBG4DQEO,33.553623194604114,0.9374299246072769,1.579750943443715,82.735598276025
ant,L2G184BQ,33.86311130764222,0.9391054221987725,1.5116866335714392,77.48858674061331
ant,4LB44GRQ,33.554286004238286,0.9374399864673615,1.5776004600716798,82.74083834083999
ant,PWLEQUG2,33.332490919159405,0.9367724961042404,1.718552805994407,90.23645081371127
ant,N23R4ZTN,33.554590621258754,0.9374272072315216,1.579120438897382,82.74934001415261
ant,58RBUYZU,32.53856491502185,0.9330088567733764,1.4586491406452522,94.98397481987672
ant,PHSNZADN,34.022121067438654,0.9405391943454743,1.4980763178867793,75.64815461541305
ant,OVPZVHDU,33.33202752491196,0.9367655685544014,1.719372620137146,90.13508811241677
ant,0B8SORN1,33.63907189211839,0.9377870434522628,1.5628158763589721,81.09709511412943
ant,O6XMU68K,33.866259530808136,0.9391203084588051,1.508356606374483,77.38515076880094
ant,TGXY0603,33.45803097084169,0.9371548810601235,1.6242679633653965,85.36934081691282
ant,MJ3K28JA,33.92562869587316,0.939645149409771,1.5071000432363106,76.77539432435874
ant,CS29Z9HJ,33.71794202638821,0.9381438082456589,1.5376502227623525,79.55693324100538
ant,D5DONNRU,33.453611883717876,0.9371404913067818,1.6274287855243588,85.27127764979616
ant,DBMECLCL,32.523241392729695,0.932973889708519,1.4623725081385393,94.97830493068608
ant,2MQSAXB0,33.550030992423515,0.9374159038066864,1.577000017570701,82.76943430371453
ant,0554DMI5,33.92681647456593,0.9396446916460991,1.5052864205749794,76.68506799600391
ant,JHTQS9S7,33.79775116510357,0.9386104395985604,1.5233216770957778,78.30170700326128
ant,PZAP1320,32.533135858694536,0.9330213436484337,1.4566310109022882,94.99169901674513
ant,5HTIF9GR,33.45494231334479,0.9371453857421875,1.628859351322639,85.55197825088659
ant,8BBICTUD,33.798677638915066,0.9386413329839707,1.5214388435896975,78.25332015626644
ant,VOOEW19M,33.55443711168047,0.9374321296811103,1.5794493700174137,82.71752036846063
ant,7EY3ZKRW,33.71915754019213,0.9381003844738006,1.534364846520202,79.44679074474342
ant,HICSEN0J,33.70982753334782,0.9381274336576462,1.5379107737830138,79.73646709014902
ant,40YZOJPW,33.92998030652789,0.9396559593081474,1.5035435597853317,76.59116401181637
ant,F4OLQ4KS,33.712503335498496,0.9381452935934067,1.536477540325385,79.6936300343575
ant,OEHJXKEY,33.330836150042096,0.936763442158699,1.7225327678247766,90.12735127365495
ant,46DZTJM7,33.71817520910133,0.9380847528576851,1.5356660820134238,79.52268003083357
ant,BF3MJLDX,33.93086010553223,0.9396604299545288,1.5014969276709749,76.55010946299448
ant,R48USWQO,33.33300735217849,0.9367722880840301,1.7225465505708828,90.17200876209633
ant,WXAL731M,33.6449330845737,0.9377931305766105,1.558607708558613,80.90048206700014
ant,MU0Z56JZ,33.798406856440444,0.9386219030618668,1.5221505036774656,78.30383084135278
ant,326P9L0G,33.79529590054179,0.938598844408989,1.5252453941644084,78.3794356848414
ant,38904IDM,33.80260868309304,0.9386259686946868,1.5216064414425716,78.18401097569185
ant,A0U0LZQP,33.45801656800624,0.9371584904193878,1.6255798286153107,85.34676871624418
ant,RQM7UO70,32.53974750085443,0.9330088433623314,1.4620817811720181,94.9830140359782
ant,8B97THE9,33.9323680545934,0.9396501424908638,1.5035433484329355,76.58074709165342
ant,9P7PYOBU,33.86670012749576,0.9391451311111451,1.513319146907051,77.40392398050241
ant,9W1M5QH9,34.02793569143432,0.9405573573708534,1.4974408153041323,75.53191872653152
ant,ITKP7WW0,33.33285127941135,0.9367663750052452,1.7208161611742412,90.17370277581213
ant,N211OJDQ,33.86695108123118,0.9391423845291138,1.5073668043683264,77.36389342504606
ant,NTKZOEMQ,33.642662436174014,0.937803683578968,1.556319837844088,81.00706587026951
ant,TVTPSAM5,33.45857231106815,0.9371464097499848,1.6262362184393613,85.31844455407776
ant,70IG0FB6,33.86605878589855,0.9391385963559151,1.5083320131855598,77.38627589731368
ant,UGP2HVEL,33.64788145093286,0.9378009873628617,1.558677248874265,80.93483641231914
ant,LZ1UX1JJ,34.02660748056812,0.9405351433157921,1.4990786324357233,75.51214680525132
ant,4C9MSJF3,34.02287999381238,0.9405410578846931,1.4985042471614174,75.62390114292197
ant,AU3UIP0M,32.52057586427154,0.9329910415410996,1.4723779829234231,94.99196449650657
ant,FLVDL5HM,34.02665539460892,0.9405301213264465,1.4964925036339694,75.54174779865129
ant,MSEO6OYN,33.65021546854055,0.9377910730242729,1.5538639443482638,80.80877145131781
misato,Q98Y2Q3T,32.18102013064552,0.9424283680319786,1.2121897965487174,55.12911007707447
misato,LVFRSTEG,31.074934259962287,0.8853077000379562,1.2852061647801047,61.890835354192674
misato,KVK2M3QB,29.360948689546593,0.6547360643744469,1.693980458793423,74.59065391141763
misato,YOJ9PL2Z,31.073558092725225,0.8851008310914039,1.2848605609405275,61.891480090756154
misato,GKDHBEDX,32.08667329946378,0.9401898482441902,1.2212892468415324,55.437287833473405
misato,O8GWHW0G,31.98641813108028,0.9372458508610726,1.228481976690563,55.87455196339667
misato,DW3P8JDN,32.25984331817683,0.944146391749382,1.2055090070494787,54.92616976229764
misato,5YLH4ZPV,31.640308311166873,0.9227648860216141,1.239105219393559,57.94146360888763
misato,JGKLQJLA,32.327675879835596,0.9455653822422028,1.2010864161331454,54.811330802636974
misato,CW8EW3Q5,29.363933278406126,0.6557815161347389,1.6899765015191406,74.48965150408507
misato,0Q7K1GMG,31.97528454050349,0.936901545226574,1.2303232672025421,55.93916468057254
misato,D17IBK2T,31.64275741506815,0.9229227775335311,1.2391978108242494,57.90961235846216
misato,UVWBZXLB,29.3612178012389,0.6547107368707656,1.691681498292214,74.55364476848426
misato,0T5BPD7U,31.644650741908553,0.9229556053876877,1.239287180901133,57.90040273911905
misato,VJGFNGOB,32.26286367532785,0.9441820910573006,1.2056147435895097,54.92963996203639
misato,44SKESWN,32.08666767455573,0.9402367857098579,1.2211809329836987,55.432806282262504
misato,98DMIJ1V,29.36676205053477,0.6561813902854919,1.6744841698481998,74.45604935142346
misato,WIRBI9PC,31.07268554593264,0.8848649901151657,1.2851268373611515,61.88987457029415
misato,TT2C970L,31.637475752062063,0.9226651275157929,1.239112166071274,57.96073617537846
misato,N8XQPH9B,32.26136267763447,0.9441563934087753,1.205440826590039,54.928085009147985
misato,D85FH5U1,32.18614824538497,0.942523247897625,1.2117238189914756,55.102012178568
misato,W80O7ADX,32.09802136377275,0.9404634422063828,1.2195794392263692,55.39200457130866
misato,UI5PC55U,31.98475668627067,0.9372178488969802,1.2291111719839314,55.873660709911846
misato,LR0AV7LC,32.09283675984677,0.9403815108537674,1.2206528438078619,55.40524695464689
misato,0IZ2DVEF,31.98663617612462,0.9371965825557709,1.2288225745196342,55.881985396716836
misato,I2GLP496,31.851196912605165,0.9321887642145157,1.2343448304426083,56.617244237903996
misato,PR5V1VQD,32.41548590056039,0.9473319005966186,1.1974582659038233,54.71175692925881
misato,SX162I6G,32.4160552804603,0.9473140436410904,1.197365888281337,54.714405405926456
misato,SSRTENCQ,32.26601658133594,0.944227806031704,1.2047205814325719,54.91359739930969
misato,27GE4JWE,29.362221352042535,0.6551811137795448,1.6897120703938895,74.61871259382261
misato,5Y0JF5YN,32.17828757020973,0.9423974746465683,1.2126615425015113,55.12500778266563
misato,08V51IG9,31.074645978204995,0.8852858978509903,1.2839643501424862,61.85335846120344
misato,E73YCTVN,32.39618648771154,0.9469531854987144,1.1984768635301803,54.73196499586136
misato,LWJB4CPQ,31.98543857313104,0.937218747138977,1.22868655808139,55.88867927927301
misato,3DW9Q296,31.846239585733894,0.9320755553245544,1.2347976032928671,56.639449723664015
misato,DBFNYM2G,32.178466277461325,0.9424115499854088,1.2122305528501085,55.108440581362764
misato,3C65C0NV,31.847713741870233,0.932036851644516,1.2345074231836226,56.62431737726222
misato,3TQ5D1PU,32.31735195463598,0.9453705537319184,1.2023296344302683,54.836962241508836
misato,AUO1FU0Q,32.0969640596239,0.9404530480504036,1.2199406670221513,55.392358544323905
misato,N3DDNB2V,32.41906392858087,0.9473630541563034,1.196908089602235,54.71773654483779
misato,5HEX193L,32.333262601814965,0.9456736755371093,1.201039902878567,54.8069756703601
misato,UCUPFGVC,32.25629966657484,0.9440639424324035,1.20592001963511,54.938628348244976
