Sequence,Video ID,PSNR(dB),SSIM,Cbleed,Ringing,Blurring,VIF,Compression Ratio (%)
misato,6ACBIVEC,32.51971914158092,0.9487793907523155,101.38151987364965,11.305600213512362,4.129093647244577,12.725965682870385,55.58622830058504
misato,KRX0AAYL,32.271457217428804,0.9428724229335785,102.94487506269289,12.359510403884647,4.181020998620612,12.889304906121401,56.2392769089812
misato,4PD7B9FB,31.844170730077682,0.9313431251049041,106.69909344738612,12.562110374918326,4.263022358863465,13.016220973186723,57.95658963434271
misato,ZF7K8GCE,29.908841256376057,0.7366941449046135,114.50770096691741,14.002863581839357,7.2942776965162395,13.275416963252304,69.95839236834179
misato,M85J5R3M,31.569893085792724,0.9153483462333679,107.54103230492869,14.006164223404046,4.433934625202689,13.126052817965533,59.21836437286885
misato,QARD1EGZ,32.20125373179555,0.9451066946983337,104.40249462046683,9.102902008082003,4.061627373080107,12.683229072627318,55.158799563728266
misato,0RYSMBEP,29.50551463516456,0.6534118735790253,114.39123449556328,13.262413629526836,12.443909327086871,13.244207524755652,74.75299478553501
misato,YPF9XJEJ,32.20301939650313,0.9451261866092682,104.39010225815012,9.10056641179081,4.061137025652134,12.681861274273412,55.15900815496939
misato,4O8MLDK4,32.21230925369612,0.9453094831109047,104.29696389853399,8.998254193170999,4.059320814673036,12.637673864293983,55.17451343722652
misato,2IOC5J0O,32.270444536340584,0.9427940991520881,102.93943226634839,12.391232892198875,4.181495965798786,12.894337525720168,56.24514274751958
misato,2VYYGNDS,31.83591061743587,0.9309720960259438,106.7835837697724,12.589854143809923,4.26740299322324,13.01637901475694,58.03161927168156
misato,2UQG843C,32.228616698392315,0.9427041471004486,103.62440128279317,11.604713764189748,4.174182786402002,12.853112241994593,56.195346329410455
misato,4RF7R3O7,29.811366177390713,0.7264994031190872,114.26944020182287,13.890935666108751,7.706707607140556,13.264087590824328,70.41486585528888
misato,D0DLPBBE,32.31524078702971,0.9473118522763252,103.52383322241518,8.285275197565966,4.033680545066683,12.451523157793208,54.59556528700416
misato,T3N4RQ1S,29.815298995356507,0.7266580519080162,114.21588312114199,13.904151852724913,7.684551667390298,13.26573657085905,70.4738023623274
misato,F58WXPNR,32.50218062622824,0.9484297174215317,101.4961610894098,11.343756028107553,4.133245955577955,12.739737839184668,55.61625279741398
misato,DHU2H4BY,32.22467658739919,0.9426423129439354,103.61530952088162,11.577535426004033,4.173895205678872,12.852803867669746,56.19363335285452
misato,AFOBL8W6,29.81284356488931,0.7269045868515969,114.22349470606675,13.902240301479532,7.697300951458813,13.26364622958462,70.38778691962253
misato,225X7CGP,29.908445096728872,0.7366714626550674,114.50752506028158,13.998308343008421,7.298021607737042,13.275297919077923,69.95524453688478
misato,Z8KUFQWS,32.31129619816199,0.9472811767458915,103.46719223813649,8.19287596987526,4.03238709576918,12.430931797357257,54.577354639559076
misato,2APH4LBX,29.50919018866472,0.6539236634969712,114.4623067310475,13.297037976097009,12.388878351580589,13.242251092303242,74.74876607219217
misato,Y7RAHQ1F,32.20478325187864,0.9451584109663963,104.36065614269872,9.071443414308678,4.061045594108449,12.676436283918463,55.13441967230316
misato,1L82FJ1L,31.846895824661598,0.9314918005466462,106.64684435884452,12.565815666733515,4.262494120642507,13.01960466177983,57.93659647992799
misato,UOPX68OQ,31.845141912486714,0.9314015850424766,106.65360064863042,12.648048673855968,4.277716872863619,13.019402199074074,57.89408179241822
