Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
ant,BXY42DUZ,3848,42,4,0,1.4,1.3,3,5,40,0
ant,N78K2HDE,6936,42,4,0,1.4,1.3,3,5,40,0
ant,97KACACS,10024,42,4,0,1.4,1.3,3,5,40,0
ant,OIDJ9IHS,13112,42,4,0,1.4,1.3,3,5,40,0
ant,FU3IL7BI,16200,42,4,0,1.4,1.3,3,5,40,0
ant,HAJQPU2W,20000,42,4,0,1.4,1.3,3,5,40,0
ant,BYWKUS93,576,50,4,0,1.4,1.3,3,5,40,0
ant,TMYTI4SE,3848,50,4,0,1.4,1.3,3,5,40,0
ant,N3IPSWE6,6936,50,4,0,1.4,1.3,3,5,40,0
ant,WPQZOLXJ,10024,50,4,0,1.4,1.3,3,5,40,0
ant,20GOM0T2,13112,50,4,0,1.4,1.3,3,5,40,0
ant,3TDU909A,16200,50,4,0,1.4,1.3,3,5,40,0
ant,C9HT2DUE,20000,50,4,0,1.4,1.3,3,5,40,0
misato,D3LPCQIU,576,0,4,0,1.4,1.3,3,5,40,0
misato,XV2O53Y9,3848,0,4,0,1.4,1.3,3,5,40,0
misato,QR1FYH9I,6936,0,4,0,1.4,1.3,3,5,40,0
misato,1ZTLWMSN,10024,0,4,0,1.4,1.3,3,5,40,0
misato,G2QK3YK3,13112,0,4,0,1.4,1.3,3,5,40,0
misato,4K86NO8S,16200,0,4,0,1.4,1.3,3,5,40,0
misato,30JJ3OKV,20000,0,4,0,1.4,1.3,3,5,40,0
misato,FR0AOVKD,576,8,4,0,1.4,1.3,3,5,40,0
misato,KUDUYIRF,3848,8,4,0,1.4,1.3,3,5,40,0
misato,8PM0CV3V,6936,8,4,0,1.4,1.3,3,5,40,0
misato,PN9Y0P4C,10024,8,4,0,1.4,1.3,3,5,40,0
misato,A3UB1ULO,13112,8,4,0,1.4,1.3,3,5,40,0
misato,SF7JBMGR,16200,8,4,0,1.4,1.3,3,5,40,0
misato,B0OSJLDU,20000,8,4,0,1.4,1.3,3,5,40,0
misato,9F7SD4GA,576,17,4,0,1.4,1.3,3,5,40,0
misato,P31OU7PJ,3848,17,4,0,1.4,1.3,3,5,40,0
misato,CN7N4S7N,6936,17,4,0,1.4,1.3,3,5,40,0
misato,S29SXML8,10024,17,4,0,1.4,1.3,3,5,40,0
misato,B989P0ZB,13112,17,4,0,1.4,1.3,3,5,40,0
misato,40X3C9FP,16200,17,4,0,1.4,1.3,3,5,40,0
misato,5LC9M9GO,20000,17,4,0,1.4,1.3,3,5,40,0
misato,KLKQ2TUW,576,25,4,0,1.4,1.3,3,5,40,0
misato,31N5P4BR,3848,25,4,0,1.4,1.3,3,5,40,0
misato,U133L1R5,6936,25,4,0,1.4,1.3,3,5,40,0
misato,A362QYTA,10024,25,4,0,1.4,1.3,3,5,40,0
misato,ZUX57F8Y,13112,25,4,0,1.4,1.3,3,5,40,0
misato,KDPTJCEV,16200,25,4,0,1.4,1.3,3,5,40,0
misato,T24GPTJQ,20000,25,4,0,1.4,1.3,3,5,40,0
misato,H0NPNX9R,576,33,4,0,1.4,1.3,3,5,40,0
misato,K27HNU3S,3848,33,4,0,1.4,1.3,3,5,40,0
misato,T615QMTD,6936,33,4,0,1.4,1.3,3,5,40,0
misato,3OW5ST45,10024,33,4,0,1.4,1.3,3,5,40,0
misato,3GV7MH42,13112,33,4,0,1.4,1.3,3,5,40,0
misato,QHZ7CIB0,16200,33,4,0,1.4,1.3,3,5,40,0
misato,GDIO3Z50,20000,33,4,0,1.4,1.3,3,5,40,0
misato,GA9DR2OX,576,42,4,0,1.4,1.3,3,5,40,0
misato,OBMTMV9W,3848,42,4,0,1.4,1.3,3,5,40,0
misato,HW6L7TT7,6936,42,4,0,1.4,1.3,3,5,40,0
misato,A8EA825Q,10024,42,4,0,1.4,1.3,3,5,40,0
misato,XXSV79J5,13112,42,4,0,1.4,1.3,3,5,40,0
misato,VQQTKYJI,16200,42,4,0,1.4,1.3,3,5,40,0
misato,AIK8LCC6,20000,42,4,0,1.4,1.3,3,5,40,0
misato,H22XIO51,576,50,4,0,1.4,1.3,3,5,40,0
misato,W2EXHB16,3848,50,4,0,1.4,1.3,3,5,40,0
misato,A5U509GT,6936,50,4,0,1.4,1.3,3,5,40,0
misato,V2WNC7D8,10024,50,4,0,1.4,1.3,3,5,40,0
misato,8N4IEX37,13112,50,4,0,1.4,1.3,3,5,40,0
misato,8DJX4IPB,16200,50,4,0,1.4,1.3,3,5,40,0
misato,Z5XWZ66E,20000,50,4,0,1.4,1.3,3,5,40,0
duck,DG4Q26FS,576,0,4,0,1.4,1.3,3,5,40,0
duck,L7FIFOOH,3848,0,4,0,1.4,1.3,3,5,40,0
duck,LMSINNNY,6936,0,4,0,1.4,1.3,3,5,40,0
duck,IFO2W3ZP,10024,0,4,0,1.4,1.3,3,5,40,0
duck,NOJNZ2E4,13112,0,4,0,1.4,1.3,3,5,40,0
duck,PEZOE01H,16200,0,4,0,1.4,1.3,3,5,40,0
duck,2ED6MVNM,20000,0,4,0,1.4,1.3,3,5,40,0
duck,KJST0ZKH,576,8,4,0,1.4,1.3,3,5,40,0
duck,J7M90N69,3848,8,4,0,1.4,1.3,3,5,40,0
duck,CS8HQSQ4,6936,8,4,0,1.4,1.3,3,5,40,0
duck,FVYWPAFQ,10024,8,4,0,1.4,1.3,3,5,40,0
duck,AN4D9419,13112,8,4,0,1.4,1.3,3,5,40,0
duck,GRQMKBDG,16200,8,4,0,1.4,1.3,3,5,40,0
duck,KQIVY5E5,20000,8,4,0,1.4,1.3,3,5,40,0
duck,S2PPSZBB,576,17,4,0,1.4,1.3,3,5,40,0
duck,4THM5CCX,3848,17,4,0,1.4,1.3,3,5,40,0
duck,WNOKIPPN,6936,17,4,0,1.4,1.3,3,5,40,0
duck,P3ERFV5I,10024,17,4,0,1.4,1.3,3,5,40,0
duck,DDKEFHTP,13112,17,4,0,1.4,1.3,3,5,40,0
duck,AA680Z1E,16200,17,4,0,1.4,1.3,3,5,40,0
duck,BQAY3I4C,20000,17,4,0,1.4,1.3,3,5,40,0
duck,A4UING54,576,25,4,0,1.4,1.3,3,5,40,0
duck,Z9ZTX8I7,3848,25,4,0,1.4,1.3,3,5,40,0
duck,X3VZA0NO,6936,25,4,0,1.4,1.3,3,5,40,0
duck,5Q0JN1T4,10024,25,4,0,1.4,1.3,3,5,40,0
duck,YLY8L9N2,13112,25,4,0,1.4,1.3,3,5,40,0
duck,K9HTASKE,16200,25,4,0,1.4,1.3,3,5,40,0
duck,G0NUTF02,20000,25,4,0,1.4,1.3,3,5,40,0
duck,LV8CUHLD,576,33,4,0,1.4,1.3,3,5,40,0
duck,EV518G3G,3848,33,4,0,1.4,1.3,3,5,40,0
duck,1SHFCD7W,6936,33,4,0,1.4,1.3,3,5,40,0
duck,G7966EB4,10024,33,4,0,1.4,1.3,3,5,40,0
duck,ECOQC3UX,13112,33,4,0,1.4,1.3,3,5,40,0
duck,7OYK36CK,16200,33,4,0,1.4,1.3,3,5,40,0
duck,IDQYLUCO,20000,33,4,0,1.4,1.3,3,5,40,0
duck,EBY27YLX,576,42,4,0,1.4,1.3,3,5,40,0
duck,1ATPQKS5,3848,42,4,0,1.4,1.3,3,5,40,0
duck,7GT3MSTR,6936,42,4,0,1.4,1.3,3,5,40,0
duck,L9AOK5FB,10024,42,4,0,1.4,1.3,3,5,40,0
duck,BDH815W9,13112,42,4,0,1.4,1.3,3,5,40,0
duck,NTW0LZ23,16200,42,4,0,1.4,1.3,3,5,40,0
duck,7NITYQ9R,20000,42,4,0,1.4,1.3,3,5,40,0
duck,DT6E6NWN,576,50,4,0,1.4,1.3,3,5,40,0
duck,H26D267Q,3848,50,4,0,1.4,1.3,3,5,40,0
duck,EZ0BSDE5,6936,50,4,0,1.4,1.3,3,5,40,0
duck,GT9YSZ4D,10024,50,4,0,1.4,1.3,3,5,40,0
duck,TH1WPJA6,13112,50,4,0,1.4,1.3,3,5,40,0
duck,Q05Y0QP2,16200,50,4,0,1.4,1.3,3,5,40,0
duck,1T5R6QS6,20000,50,4,0,1.4,1.3,3,5,40,0
