Sequence,Video ID,PSNR(dB),SSIM,Cbleed,Ringing,VIF
ant,FATQ3IUR,32.32652452664537,0.9308449382805706,100.28697707570369,17.68557730281779,33.06016502376344
ant,91EEVJU9,31.91528209060414,0.9323433014883924,98.19207747791721,17.387176141711056,58.719134679891475
ant,JLDOZVFV,31.638008356273286,0.9310632404403307,100.47037238455677,16.77604689352847,67.3054796062359
ant,G22WWX21,31.830058569176273,0.9320262124882409,98.92902399413045,17.390118009865144,58.17808387671996
ant,VABFM70O,31.85167101830837,0.9320223378897899,99.04671284779806,17.423856379326086,58.52964457655717
ant,JZU5FK2N,31.7393368108063,0.9318305805547914,99.34779072303412,17.433771029345884,59.589091844227625
ant,CF23X18S,32.3248755020937,0.9309945222157151,100.48754469238496,18.12473440974374,32.473487604220225
ant,57SPN6M4,31.898637485762965,0.9322925361234751,98.71339384050044,17.504759832183897,58.040770248512224
ant,QWY9RFIX,31.899064261745202,0.9322811486709177,98.03784059903991,17.382296725597637,58.61317024876347
ant,V846T96U,32.25432102374175,0.9313862958357702,100.33516460785388,17.719218389932507,34.35914261138431
ant,K0FN3B6T,32.87487570235969,0.933615533570152,97.41329442438656,17.940079251752245,33.99405767244285
ant,G2ARMPHY,31.686010894777873,0.9312164587761039,100.31859748326274,16.738547841594702,68.35328260419325
ant,Z4Q43ZOB,31.905210226194683,0.9322663100797739,98.69852788766431,17.415016658226072,57.716762392918795
ant,CF6CKCDF,32.31598099193152,0.930877072301077,99.69848386227618,18.28352172946064,32.01718937407789
ant,8ZGPM8KI,31.66729188761686,0.9311376042033902,100.60108354590862,16.843541178069422,66.616961603491
ant,1RRDWACE,31.868439097991967,0.9322840242243525,98.8867820271232,17.514993851500535,57.792567180702484
ant,DSIDCW3D,31.670792863986996,0.9311044254706273,100.47943257765955,16.81929888163649,66.60038742329468
ant,2S2AZI5N,31.753024900950688,0.9318682990263943,99.23496051522868,17.430651546933337,59.37698258392155
ant,Y5QPUFHQ,31.907016182905174,0.9322638120224227,98.1941842641057,17.36807551845316,59.04045628213453
ant,2ZJRLER9,31.630953777289747,0.9310705510538015,100.31072564693898,16.71228472346256,68.04549997363064
ant,DQO4AV1O,31.89251524317214,0.9322578109318937,98.0904637871119,17.324587845297053,59.11410917816339
ant,GISO5VDW,32.30813040105577,0.9307405981258373,101.15143729534229,18.216129445299043,31.881092132572547
ant,MZW3XPGS,32.300162540132256,0.9307063963282761,101.32038615996026,18.020623678334236,31.88032978456357
ant,RGZK7716,31.72099892930044,0.9318865872734222,99.0450290347548,17.42545005446553,60.53220597520764
ant,UVZKXR4P,31.769070117302086,0.9319357237412562,99.06240131926211,17.348023910901965,59.17256516967615
ant,W5BN50WJ,32.892415690503675,0.9336533036398057,97.14015972294204,18.10292818335541,34.61238411810565
ant,NDXF0ZBQ,31.77514953460317,0.9318831213078096,99.1528541429139,17.41255194795506,58.93469537197698
ant,Q8V3QNOX,31.696912014364695,0.9316814354996183,99.06153999245677,17.34969861201174,60.53169918138427
ant,TQTAYDCQ,31.860179939940913,0.9320367248497199,98.69406630284152,17.562950414234564,57.339030044957966
ant,GYB4CGIZ,31.94962560635287,0.9324017101852455,98.70704072591317,17.365118646126284,57.51551063396749
ant,A7XXW89Y,31.87321106158218,0.9322614622353321,98.99464223059081,17.460502900361274,57.32265527701563
ant,6UFS7DSU,31.912108445450215,0.932320613766191,98.32980283046578,17.312380436926713,59.388278572069304
ant,GRQUKKWI,31.747339611307936,0.9319217679512442,99.03273281907401,17.350434453831586,59.72296164010154
ant,P7WHV6NK,32.30679903881919,0.9314574652643346,100.89175976670464,17.84418398844897,35.24039900326134
ant,ZV1SV4BJ,32.25115761729882,0.9312657224598215,99.99339754257264,17.786760133877642,34.263971372939594
ant,GTPVNT29,32.84550306785274,0.9334763021611455,97.48089822516472,17.737649493299234,34.52225383610096
ant,4LBJBCVX,32.30620775301078,0.9314218379964876,101.12636159720303,17.986867714208316,34.859888641021975
ant,C0PXOG1C,32.301467750020414,0.9315124604832473,101.46807421107228,18.027929469748194,32.005405514556784
ant,4GJ4TSUO,32.29943265827788,0.9315161776186814,101.84988644379378,18.173148296172624,32.099182053954074
ant,F9M3F87T,32.85910753718814,0.9334709810380318,97.54947160177132,18.07355477726685,34.03633116082503
ant,YNE0F7C7,32.33068065668734,0.9312343413556986,100.75735861467163,17.97296931691825,33.414519234907054
ant,XQUUYRCQ,32.285998156777936,0.9312197506724306,101.68627274627055,17.980395778509802,31.362443856331385
ant,EWQCJSIL,32.24501051069514,0.9318179440735584,100.98897655338281,18.18695180916295,32.249699190733516
ant,16JV3U8Q,32.86584603016789,0.9337442345287076,96.94740534403594,17.918098274240602,35.01386119316543
ant,Z1K9FX4U,32.285998156777936,0.9312197506724306,101.68627274627055,17.980395778509802,31.362443856331385
ant,2PIF8U1J,32.40683160414493,0.931258533724505,100.55262465162608,17.988744404595874,31.843461057997423
