Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
referee,MO3FIQOJ,20000,12,4,0,1.4,1.3,4,5,40
referee,96L020C5,576,12,4,0,1.4,1.3,4,5,250
referee,FX1ZHFV9,5184,12,4,0,1.4,1.3,4,5,250
referee,OW00430B,14016,12,4,0,1.4,1.3,4,5,250
referee,IAU0P40N,20000,12,4,0,1.4,1.3,4,5,250
referee,6NKCCPPN,576,37,4,0,1.4,1.3,4,5,0
referee,P3MDYZV1,5184,37,4,0,1.4,1.3,4,5,0
referee,Z7IUEKIJ,14016,37,4,0,1.4,1.3,4,5,0
referee,LX3O74QR,20000,37,4,0,1.4,1.3,4,5,0
referee,IZR49UPQ,576,37,4,0,1.4,1.3,4,5,10
referee,PDCOXZLX,5184,37,4,0,1.4,1.3,4,5,10
referee,A4DKFFJ4,14016,37,4,0,1.4,1.3,4,5,10
referee,2PCX44SF,20000,37,4,0,1.4,1.3,4,5,10
referee,ZQASUJTT,576,37,4,0,1.4,1.3,4,5,40
referee,FRQY7B50,5184,37,4,0,1.4,1.3,4,5,40
referee,HVYY8UDC,14016,37,4,0,1.4,1.3,4,5,40
referee,ZX9LO9AS,20000,37,4,0,1.4,1.3,4,5,40
referee,GQD701W1,576,37,4,0,1.4,1.3,4,5,250
referee,ET2VDX8B,5184,37,4,0,1.4,1.3,4,5,250
referee,Q6O1LHF8,14016,37,4,0,1.4,1.3,4,5,250
referee,LHPVNUAD,20000,37,4,0,1.4,1.3,4,5,250
referee,LPM68A5A,576,50,4,0,1.4,1.3,4,5,0
referee,RJ48QF7W,5184,50,4,0,1.4,1.3,4,5,0
referee,J6MQHXK9,14016,50,4,0,1.4,1.3,4,5,0
referee,CH8U4KFV,20000,50,4,0,1.4,1.3,4,5,0
referee,FG2N26ZF,576,50,4,0,1.4,1.3,4,5,10
referee,SBTND09J,5184,50,4,0,1.4,1.3,4,5,10
referee,91G0EQ19,14016,50,4,0,1.4,1.3,4,5,10
referee,8FWNVX6T,20000,50,4,0,1.4,1.3,4,5,10
referee,5K2KKJOO,576,50,4,0,1.4,1.3,4,5,40
referee,7VU1OM8G,5184,50,4,0,1.4,1.3,4,5,40
referee,98LA87BG,14016,50,4,0,1.4,1.3,4,5,40
referee,KWCBLBWT,20000,50,4,0,1.4,1.3,4,5,40
referee,HX8C8MXQ,576,50,4,0,1.4,1.3,4,5,250
referee,8WD2WLEH,5184,50,4,0,1.4,1.3,4,5,250
referee,NQE5WDR1,14016,50,4,0,1.4,1.3,4,5,250
referee,TSQRYRVW,20000,50,4,0,1.4,1.3,4,5,250
referee,6GN5DMLV,576,0,4,0,1.4,1.3,12,5,0
referee,YYSNPZGS,5184,0,4,0,1.4,1.3,12,5,0
referee,DE92Z2KW,14016,0,4,0,1.4,1.3,12,5,0
referee,6RHAVNNI,20000,0,4,0,1.4,1.3,12,5,0
referee,VVG79KAF,576,0,4,0,1.4,1.3,12,5,10
referee,O0EWARD8,5184,0,4,0,1.4,1.3,12,5,10
referee,XGDP3X9L,14016,0,4,0,1.4,1.3,12,5,10
