Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
ant,SZGK4V16,576,21,4,12,1.4,1.3,12,5,187
ant,WUTOKPV3,576,21,4,12,1.4,1.3,12,5,250
ant,3AF2A56W,576,21,4,12,1.4,1.3,16,5,0
ant,S2LN194R,576,21,4,12,1.4,1.3,16,5,62
ant,ULPQUWDZ,576,21,4,12,1.4,1.3,16,5,125
ant,V91GUXGW,576,21,4,12,1.4,1.3,16,5,187
ant,75YMP7EG,576,21,4,12,1.4,1.3,16,5,250
ant,KN35EVRZ,576,21,4,16,1.4,1.3,1,5,0
ant,FTFTKNIN,576,21,4,16,1.4,1.3,1,5,62
ant,X9R7447C,576,21,4,16,1.4,1.3,1,5,125
ant,HM989ARU,576,21,4,16,1.4,1.3,1,5,187
ant,BE5JPX2D,576,21,4,16,1.4,1.3,1,5,250
ant,74UCGNKF,576,21,4,16,1.4,1.3,4,5,0
ant,RTZO6TTK,576,21,4,16,1.4,1.3,4,5,62
ant,KNKBGI4U,576,21,4,16,1.4,1.3,4,5,125
ant,6Z1HXT6B,576,21,4,16,1.4,1.3,4,5,187
ant,5R2SQIBJ,576,21,4,16,1.4,1.3,4,5,250
ant,AW9BCFYX,576,21,4,16,1.4,1.3,8,5,0
ant,YC8CX95R,576,21,4,16,1.4,1.3,8,5,62
ant,2E3FRYO4,576,21,4,16,1.4,1.3,8,5,125
ant,YMWBFV2A,576,21,4,16,1.4,1.3,8,5,187
ant,ANSS18U5,576,21,4,16,1.4,1.3,8,5,250
ant,E7UEEIF6,576,21,4,16,1.4,1.3,12,5,0
ant,04MYPJ2V,576,21,4,16,1.4,1.3,12,5,62
ant,8XFAXUCX,576,21,4,16,1.4,1.3,12,5,125
ant,T8EVQTUD,576,21,4,16,1.4,1.3,12,5,187
ant,834CX1JA,576,21,4,16,1.4,1.3,12,5,250
ant,GG2DD975,576,21,4,16,1.4,1.3,16,5,0
ant,EN9IDOCY,576,21,4,16,1.4,1.3,16,5,62
ant,Z7B4RT15,576,21,4,16,1.4,1.3,16,5,125
ant,8TC4FBLY,576,21,4,16,1.4,1.3,16,5,187
ant,ZHK386PC,576,21,4,16,1.4,1.3,16,5,250
ant,VXXH7X6V,1536,21,4,0,1.4,1.3,1,5,0
ant,NZOVL7XA,1536,21,4,0,1.4,1.3,1,5,62
ant,PRFUFGQU,1536,21,4,0,1.4,1.3,1,5,125
ant,CSHM05E0,1536,21,4,0,1.4,1.3,1,5,187
ant,M3AUYASP,1536,21,4,0,1.4,1.3,1,5,250
ant,G3K5H7YJ,1536,21,4,0,1.4,1.3,4,5,0
ant,8ILLWQ9C,1536,21,4,0,1.4,1.3,4,5,62
ant,3DEE77UW,1536,21,4,0,1.4,1.3,4,5,125
ant,Z4ELE37J,1536,21,4,0,1.4,1.3,4,5,187
ant,CF5D7UPF,1536,21,4,0,1.4,1.3,4,5,250
ant,FXRIBQGU,1536,21,4,0,1.4,1.3,8,5,0
ant,PRU6F4SI,1536,21,4,0,1.4,1.3,8,5,62
ant,96PD1W91,1536,21,4,0,1.4,1.3,8,5,125
ant,AOL44HKZ,1536,21,4,0,1.4,1.3,8,5,187
ant,NVUXPX0T,1536,21,4,0,1.4,1.3,8,5,250
ant,VGR4M4RG,1536,21,4,0,1.4,1.3,12,5,0
ant,GQJRKYKR,1536,21,4,0,1.4,1.3,12,5,62
ant,AYTGBMZK,1536,21,4,0,1.4,1.3,12,5,125
ant,SU1G6ACN,1536,21,4,0,1.4,1.3,12,5,187
ant,G5VX8OHC,1536,21,4,0,1.4,1.3,12,5,250
ant,ISN80FB7,1536,21,4,0,1.4,1.3,16,5,0
ant,D4N4G3SK,1536,21,4,0,1.4,1.3,16,5,62
ant,2UJ8JOQK,1536,21,4,0,1.4,1.3,16,5,125
ant,HKQ7Y3H5,1536,21,4,0,1.4,1.3,16,5,187
ant,TTR2B7H6,1536,21,4,0,1.4,1.3,16,5,250
ant,6N33FCPL,1536,21,4,4,1.4,1.3,1,5,0
ant,509NNNTT,1536,21,4,4,1.4,1.3,1,5,62
ant,BARY9PI6,1536,21,4,4,1.4,1.3,1,5,125
ant,EWYQKO1M,1536,21,4,4,1.4,1.3,1,5,187
ant,V3B8I901,1536,21,4,4,1.4,1.3,1,5,250
ant,0GZT1O62,1536,21,4,4,1.4,1.3,4,5,0
ant,WCOEQCRV,1536,21,4,4,1.4,1.3,4,5,62
ant,IQEYV59E,1536,21,4,4,1.4,1.3,4,5,125
ant,95STJTOF,1536,21,4,4,1.4,1.3,4,5,187
ant,V51JK31E,1536,21,4,4,1.4,1.3,4,5,250
ant,RCHUNUAT,1536,21,4,4,1.4,1.3,8,5,0
ant,T4R3XWN9,1536,21,4,4,1.4,1.3,8,5,62
ant,W5KHIDI6,1536,21,4,4,1.4,1.3,8,5,125
ant,QXE0QZS8,1536,21,4,4,1.4,1.3,8,5,187
ant,N6HT4V8Q,1536,21,4,4,1.4,1.3,8,5,250
ant,BYC2A7N4,1536,21,4,4,1.4,1.3,12,5,0
ant,QABFEH6G,1536,21,4,4,1.4,1.3,12,5,62
ant,Q3NQ897P,1536,21,4,4,1.4,1.3,12,5,125
ant,7XEPO4AP,1536,21,4,4,1.4,1.3,12,5,187
ant,K6GQ65VQ,1536,21,4,4,1.4,1.3,12,5,250
ant,52G110DT,1536,21,4,4,1.4,1.3,16,5,0
ant,HLZ1TXO6,1536,21,4,4,1.4,1.3,16,5,62
ant,MMSRO872,1536,21,4,4,1.4,1.3,16,5,125
ant,J54VUI4K,1536,21,4,4,1.4,1.3,16,5,187
ant,XNSC92MS,1536,21,4,4,1.4,1.3,16,5,250
ant,D6PDBF21,1536,21,4,8,1.4,1.3,1,5,0
ant,ZS4WE69T,1536,21,4,8,1.4,1.3,1,5,62
ant,16V302SG,1536,21,4,8,1.4,1.3,1,5,125
ant,O81EL6OR,1536,21,4,8,1.4,1.3,1,5,187
ant,5ERZ5QM8,1536,21,4,8,1.4,1.3,1,5,250
ant,KIEXUFCQ,1536,21,4,8,1.4,1.3,4,5,0
ant,0QP01BV0,1536,21,4,8,1.4,1.3,4,5,62
ant,AMNVHOQF,1536,21,4,8,1.4,1.3,4,5,125
ant,Y8YEGI9T,1536,21,4,8,1.4,1.3,4,5,187
ant,N61NOGTL,1536,21,4,8,1.4,1.3,4,5,250
ant,2OAAX28A,1536,21,4,8,1.4,1.3,8,5,0
ant,XZP08U4W,1536,21,4,8,1.4,1.3,8,5,62
ant,8KFQZFXC,1536,21,4,8,1.4,1.3,8,5,125
ant,WZF1H0AG,1536,21,4,8,1.4,1.3,8,5,187
ant,5LAYSNEU,1536,21,4,8,1.4,1.3,8,5,250
ant,ABBW6EXC,1536,21,4,8,1.4,1.3,12,5,0
ant,ZXFMDM96,1536,21,4,8,1.4,1.3,12,5,62
ant,ENX96O2U,1536,21,4,8,1.4,1.3,12,5,125
ant,0WS47U8A,1536,21,4,8,1.4,1.3,12,5,187
ant,REF3XE61,1536,21,4,8,1.4,1.3,12,5,250
ant,9U01Y0FZ,1536,21,4,8,1.4,1.3,16,5,0
ant,SAEFG4D4,1536,21,4,8,1.4,1.3,16,5,62
ant,5B1UIRO7,1536,21,4,8,1.4,1.3,16,5,125
ant,G3XFQBL2,1536,21,4,8,1.4,1.3,16,5,187
ant,4POE7R6R,1536,21,4,8,1.4,1.3,16,5,250
ant,0M8ZSQC1,1536,21,4,12,1.4,1.3,1,5,0
ant,1RRHHDXU,1536,21,4,12,1.4,1.3,1,5,62
ant,Y11QACKP,1536,21,4,12,1.4,1.3,1,5,125
ant,NBTN8FYU,1536,21,4,12,1.4,1.3,1,5,187
ant,TA247H6F,1536,21,4,12,1.4,1.3,1,5,250
ant,BBMJGN83,1536,21,4,12,1.4,1.3,4,5,0
ant,GE5HVK1K,1536,21,4,12,1.4,1.3,4,5,62
ant,TPJQGNVK,1536,21,4,12,1.4,1.3,4,5,125
ant,CTFFFHIA,1536,21,4,12,1.4,1.3,4,5,187
ant,JO7X5ZP7,1536,21,4,12,1.4,1.3,4,5,250
ant,X67JGTO1,1536,21,4,12,1.4,1.3,8,5,0
ant,JXRXG5QY,1536,21,4,12,1.4,1.3,8,5,62
ant,X5VLCJXW,1536,21,4,12,1.4,1.3,8,5,125
ant,D5GCSKQS,1536,21,4,12,1.4,1.3,8,5,187
ant,GEY8S08L,1536,21,4,12,1.4,1.3,8,5,250
ant,JJ7UP404,1536,21,4,12,1.4,1.3,12,5,0
ant,UE9TSLYW,1536,21,4,12,1.4,1.3,12,5,62
ant,DCTEH30X,1536,21,4,12,1.4,1.3,12,5,125
ant,WQHSTJ9B,1536,21,4,12,1.4,1.3,12,5,187
ant,3XVYG45U,1536,21,4,12,1.4,1.3,12,5,250
ant,DE5RDR2C,1536,21,4,12,1.4,1.3,16,5,0
ant,F36A7PLF,1536,21,4,12,1.4,1.3,16,5,62
ant,TAKQ68LJ,1536,21,4,12,1.4,1.3,16,5,125
ant,UMLXRSB1,1536,21,4,12,1.4,1.3,16,5,187
ant,E1MUU5L1,1536,21,4,12,1.4,1.3,16,5,250
ant,XLTIA75B,1536,21,4,16,1.4,1.3,1,5,0
ant,GCRJ0I3F,1536,21,4,16,1.4,1.3,1,5,62
ant,6JB2830I,1536,21,4,16,1.4,1.3,1,5,125
ant,ZBUASHX5,1536,21,4,16,1.4,1.3,1,5,187
ant,J7SJ4TRT,1536,21,4,16,1.4,1.3,1,5,250
ant,1QCIGKNZ,1536,21,4,16,1.4,1.3,4,5,0
ant,T0FYOHGJ,1536,21,4,16,1.4,1.3,4,5,62
ant,1H8O8LC8,1536,21,4,16,1.4,1.3,4,5,125
ant,YZZNPMF8,1536,21,4,16,1.4,1.3,4,5,187
ant,EIEHIKQZ,1536,21,4,16,1.4,1.3,4,5,250
ant,UNOS0G0P,1536,21,4,16,1.4,1.3,8,5,0
ant,LSYE9Z1X,1536,21,4,16,1.4,1.3,8,5,62
ant,FWRWZKH7,1536,21,4,16,1.4,1.3,8,5,125
ant,16IWJYWO,1536,21,4,16,1.4,1.3,8,5,187
ant,7C7EUVQ5,1536,21,4,16,1.4,1.3,8,5,250
ant,LVZJ2LIE,1536,21,4,16,1.4,1.3,12,5,0
ant,MEOUPXU5,1536,21,4,16,1.4,1.3,12,5,62
ant,H8UZ5OUO,1536,21,4,16,1.4,1.3,12,5,125
ant,I5DOHHOT,1536,21,4,16,1.4,1.3,12,5,187
ant,8MDFKOML,1536,21,4,16,1.4,1.3,12,5,250
ant,KNJLUX1K,1536,21,4,16,1.4,1.3,16,5,0
ant,X3I2XXR9,1536,21,4,16,1.4,1.3,16,5,62
ant,4G06THEM,1536,21,4,16,1.4,1.3,16,5,125
ant,AXDOVM2X,1536,21,4,16,1.4,1.3,16,5,187
ant,LW8LVQ43,1536,21,4,16,1.4,1.3,16,5,250
ant,4PM1C5BT,3072,21,4,0,1.4,1.3,1,5,0
ant,86S2YX2E,3072,21,4,0,1.4,1.3,1,5,62
ant,0TY26QOK,3072,21,4,0,1.4,1.3,1,5,125
ant,RCHYTB0M,3072,21,4,0,1.4,1.3,1,5,187
ant,YTF5EO3C,3072,21,4,0,1.4,1.3,1,5,250
ant,NU0VWYSZ,3072,21,4,0,1.4,1.3,4,5,0
ant,KAUABIO5,3072,21,4,0,1.4,1.3,4,5,62
ant,564RLVG5,3072,21,4,0,1.4,1.3,4,5,125
ant,47JAAD92,3072,21,4,0,1.4,1.3,4,5,187
ant,AP20MRFS,3072,21,4,0,1.4,1.3,4,5,250
ant,1T693CFZ,3072,21,4,0,1.4,1.3,8,5,0
ant,WYVDT01N,3072,21,4,0,1.4,1.3,8,5,62
ant,YHDM0H5Y,3072,21,4,0,1.4,1.3,8,5,125
ant,GWUHIFL0,3072,21,4,0,1.4,1.3,8,5,187
ant,1QGRHJ40,3072,21,4,0,1.4,1.3,8,5,250
ant,7B6GED0W,3072,21,4,0,1.4,1.3,12,5,0
ant,ZZAQS0VV,3072,21,4,0,1.4,1.3,12,5,62
ant,T3JOUVQP,3072,21,4,0,1.4,1.3,12,5,125
ant,PC4H51J6,3072,21,4,0,1.4,1.3,12,5,187
ant,CQEE1JJZ,3072,21,4,0,1.4,1.3,12,5,250
