Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF,Compression Ratio (%)
referee,E0S2ZEJA,576,21,4,4,1.4,0.0,8,5,40,34.36474616635344,0.9008699151873588,87.46228508150072,21.422349344704276,6.715689929148319,86.8165721316413
referee,S0X0U5KR,576,21,4,4,1.4,0.5,8,5,40,34.3642233142949,0.900911367237568,87.2593180700232,21.45219880685277,6.706476734984534,86.82382857845384
referee,M06LDDRD,576,21,4,4,1.4,1.0,8,5,40,34.360388398412894,0.9009558475017548,88.00218799189814,21.414626614049336,6.706793490688426,86.81454310775032
referee,ML7GE5XK,576,21,4,4,1.4,1.5,8,5,40,34.369049978846064,0.9012685161828996,86.75839148099925,21.458716213795928,6.680126812605116,86.82942893723077
referee,WMLZIJ89,576,21,4,4,1.4,2.0,8,5,40,34.3446621703133,0.900308664739132,87.2607797079958,21.42347930983487,6.753736726991448,86.86681733696618
referee,LWSRMSEY,576,21,4,4,1.4,0.0,12,5,40,34.36822824427989,0.9010662242770195,87.6455767385224,21.36839926439239,6.731238263301499,86.82984611971305
referee,5OZCZUVI,576,21,4,4,1.4,0.5,12,5,40,34.373257975373065,0.9010801583528518,88.00129512562691,21.43197007210175,6.701083136975773,86.85263313256952
referee,LPHF1JWI,576,21,4,4,1.4,1.0,12,5,40,34.37117551706962,0.9014394599199296,87.10878445818862,21.41856641904436,6.699839495685917,86.76192122646593
referee,LK144VVQ,576,21,4,4,1.4,1.5,12,5,40,34.37189520582829,0.9014062157273292,87.30193983772187,21.403591710176244,6.725021217408446,86.76546095661838
referee,ODZ91IN0,576,21,4,4,1.4,2.0,12,5,40,34.366884558265724,0.9010715064406396,86.98469844955635,21.429500133809302,6.722417981565132,86.81482122940517
referee,VKVEEJV4,576,21,4,4,1.4,0.0,16,5,40,34.37220389215689,0.901343492269516,86.24970639347033,21.41058232602511,6.723420095692339,86.84580651013263
referee,0KNY5CPZ,576,21,4,4,1.4,0.5,16,5,40,34.3666952017694,0.901099106669426,87.24672435619217,21.38417410616551,6.7263604584751056,86.80509961337928
referee,EOESGNN8,576,21,4,4,1.4,1.0,16,5,40,34.360291650350426,0.9006586176156998,87.0640780394001,21.391958791323496,6.735002990387272,86.87421284460616
referee,G2WPRH3W,576,21,4,4,1.4,1.5,16,5,40,34.38416081568209,0.9014368599653244,86.64325437644679,21.4210651541076,6.719761168890316,86.88219620028931
referee,BEWU3F26,576,21,4,4,1.4,2.0,16,5,40,34.367193541998084,0.9009883260726927,87.21139974561146,21.373956487001028,6.736232843093753,86.81253304669947
referee,3UOSC96N,576,21,4,8,1.4,0.0,1,5,40,34.48665467637689,0.9027231922745704,100.95522629726084,21.65035513816658,6.465156411871532,86.84145137785576
referee,LORW7EA8,576,21,4,8,1.4,0.5,1,5,40,34.46872985096816,0.902360210120678,100.85280042317709,21.695372685642493,6.487062363868144,86.7990188626531
referee,DU61NP6Y,576,21,4,8,1.4,1.0,1,5,40,34.460677340336964,0.9019178101420402,100.67590951244216,21.685668817601822,6.510960476540808,86.83575620487832
referee,RU0VQWEN,576,21,4,8,1.4,1.5,1,5,40,34.48355170813018,0.9028428500890732,100.10206814115548,21.666585290756917,6.456074258080458,86.82763378836775
referee,TXJ4B2G2,576,21,4,8,1.4,2.0,1,5,40,34.45992570228651,0.9021276769042016,101.14716734543794,21.696571812276588,6.493698544074045,86.87396000673813
referee,PAAVT5KS,576,21,4,8,1.4,0.0,4,5,40,34.450401254152034,0.901393367946148,101.38288036144864,21.545432668523343,6.5949422105961295,86.8180133074891
referee,GWJNPCX3,576,21,4,8,1.4,0.5,4,5,40,34.43709272512626,0.9007382741570472,100.72236427348572,21.50868517492433,6.641506741214982,86.92307376260358
referee,Y4LJXMLK,576,21,4,8,1.4,1.0,4,5,40,34.44286306622968,0.9007723572850228,101.19925500940388,21.518726805969397,6.644740664728687,86.91140529499384
referee,R1KSBEDA,576,21,4,8,1.4,1.5,4,5,40,34.45247520273772,0.9009124845266342,101.32765842013896,21.53452285977089,6.614859275955346,86.89034390058667
referee,6RGTDQPQ,576,21,4,8,1.4,2.0,4,5,40,34.449967533651964,0.9009067964553832,101.2806453281732,21.56483539097303,6.619482769355296,86.908105760816
referee,3MNBDS96,576,21,4,8,1.4,0.0,8,5,40,34.457685223167,0.9013252997398375,100.84323335624036,21.52692338726545,6.631960311661657,86.88311905850763
referee,W6ET6GBT,576,21,4,8,1.4,0.5,8,5,40,34.4482995146971,0.9010595858097076,101.19712064766593,21.51615674012324,6.636906918281755,86.86961751635465
referee,Z27EW6OS,576,21,4,8,1.4,1.0,8,5,40,34.4661734150231,0.9014463058114052,101.92245673466432,21.500381075803613,6.639597119818635,86.81755819932663
referee,SFYIL5KH,576,21,4,8,1.4,1.5,8,5,40,34.457052883417944,0.9011174070835114,101.18493415557484,21.531140722348876,6.647186563189588,86.88467401139603
referee,SI4HCOGZ,576,21,4,8,1.4,2.0,8,5,40,34.46062722559529,0.901416300535202,100.87358148992094,21.56050606014999,6.610694184831576,86.86983874948919
referee,JJFVYZ41,576,21,4,8,1.4,0.0,12,5,40,34.465398587492295,0.9014040976762772,101.40315537350492,21.48444814899629,6.668610674692158,86.83266526194161
referee,XKNJYHFS,576,21,4,8,1.4,0.5,12,5,40,34.4609406495004,0.9013120386004448,101.33781187909912,21.51276923427633,6.653051475663215,86.88093833189585
referee,VMFKTIWG,576,21,4,8,1.4,1.0,12,5,40,34.455755497125914,0.9012083685398102,101.3055216399016,21.52434491318629,6.656084585646144,86.86495265768946
referee,CAPNKSKL,576,21,4,8,1.4,1.5,12,5,40,34.466797778182965,0.901403532922268,101.54934182822146,21.542240029485665,6.622294463328584,86.81984006108563
referee,EQ8W3HIY,576,21,4,8,1.4,2.0,12,5,40,34.463290832186765,0.9014449328184128,100.94625043161652,21.50893571074163,6.641863795749242,86.86700064442051
referee,HTYT8ZZ3,576,21,4,8,1.4,0.0,16,5,40,34.46751465500341,0.9017595067620278,100.78892038724923,21.48153284490059,6.640119970959064,86.83456154595186
referee,YEF42MCV,576,21,4,8,1.4,0.5,16,5,40,34.45697038569411,0.901245985031128,101.39857349416472,21.484619759089945,6.646029332401106,86.77147849787758
referee,BPQQFU9U,576,21,4,8,1.4,1.0,16,5,40,34.46029168942179,0.9015626204013824,100.8275056869695,21.44607078828418,6.654298987709419,86.86832172228098
referee,CETP7U4M,576,21,4,8,1.4,1.5,16,5,40,34.46956925914428,0.901624255478382,101.98396624228398,21.50312202631972,6.64620505223686,86.84753212858196
referee,G0JFADST,576,21,4,8,1.4,2.0,16,5,40,34.472330448500145,0.9016709822416306,101.72663508873458,21.51572656944829,6.646008658720997,86.82983347781963
referee,OQ9875QF,576,21,4,12,1.4,0.0,1,5,40,34.4744770979509,0.9017634281516076,102.25446854142548,21.57755547122549,6.555224176726934,86.80105420749076
referee,JFFJF78H,576,21,4,12,1.4,0.5,1,5,40,34.4552574838338,0.9017067396640778,102.11157222945594,21.629012527361407,6.552434115574893,86.72174528923546
