Sequence,Video ID,PSNR(dB),SSIM,Cbleed,Ringing,VIF
ant,6ZTF93H6,33.57039964733501,0.9373145017457839,93.49954703479135,17.640494127904173,19.596753615865584
ant,WCO3U8D2,34.104720976549956,0.939874899624592,89.1861135631641,13.86202877978777,12.960094633247435
ant,OARBEXDY,34.149713673134514,0.9403112222306171,88.69863848917076,14.738651699677826,13.75108930413587
ant,81PLDYG3,32.27983032689491,0.9317655397291801,100.06545350864306,17.840069713615264,34.898844614334756
ant,6NTUJFZY,33.508558019255354,0.9372611555887099,94.15681572605715,17.892781268440256,21.273648590070707
ant,W6HPQX1P,32.34792075568176,0.9311211079507324,100.58192129869559,18.021967459874382,31.253396890267638
ant,CCGSUITK,34.16616112353461,0.9401515576969924,88.50722715871836,13.967190492623176,12.029949071281278
ant,UNOS0G0P,33.299272352864264,0.9363443101223429,94.92046464005205,18.959083898390762,25.204112434182814
ant,7B6B32GM,32.22978296443442,0.9313756079223026,99.84371160929538,17.770775802031405,34.099966059282025
ant,O9O05ZWL,33.63482165617515,0.9375172447209335,92.91567654349778,18.181908836020796,19.00895670180045
ant,WTEBA5GP,33.47400386178768,0.9371456844889703,94.59508938357021,17.973239754338834,21.27131975559437
ant,JXRXG5QY,33.26270343132954,0.93553063910992,96.28421074363908,18.534293343384608,23.843671045484964
ant,XOK091LQ,33.58111447740063,0.9373473412361905,93.53093908471716,18.32905293852864,22.51033847153275
ant,PC0ZI3YE,33.5708419115341,0.9373181456357093,93.50641733462318,17.57204728165821,19.65611431152611
ant,8QLU8LWG,32.29345364975316,0.9312445702244393,99.83791596128155,17.842413616649118,34.05146719114488
ant,VXXH7X6V,33.18794711472465,0.93576670167458,95.97871221751004,18.396106592709316,36.609256542023374
ant,Y7KIJ0XM,34.138659970786236,0.9402111110402577,88.65876991153412,16.956128930963168,13.743038662326843
ant,VZJSBQAI,33.61294053332799,0.9376371241920624,93.0841016296796,16.80979462003123,19.01406672321808
ant,QMSZCWFZ,34.12550487659162,0.9400487723042122,88.98504981962289,14.438943425722583,12.728844349242575
ant,NI31B8IG,31.669569335307994,0.9310801518497183,100.38773214487942,16.832537979437713,66.50206087316235
ant,1ZTUPZSY,33.472914228484335,0.9369520097229611,94.52643218729848,18.71895903416889,21.793752491305252
ant,BL2GWV95,33.432572056435966,0.9368487881190741,94.37391617457656,18.558466595690632,26.782264812456706
ant,QGFO604H,34.15038677305458,0.9403787445073104,88.58917258326419,14.583068135504554,13.573836207154722
ant,N56XSYGX,33.612849397673195,0.9375965444009695,92.96027377699662,17.043094719144147,18.979887688136593
ant,RCHYTB0M,33.458541180650464,0.9370263272256993,94.24372531272081,18.622106839271567,25.57746622147644
ant,4DDDIVDS,33.58511295442509,0.9371991907779257,93.3874632144064,18.318075024819226,19.934735686927883
ant,R473TOMP,33.58269859822972,0.9373491818632059,93.54976672866378,18.33872821618244,22.491949102830997
ant,1H8O8LC8,33.262094825989706,0.9355577099975662,96.99934269024286,18.54845798087468,24.02357223174858
ant,V0N0P6ED,33.45448235172865,0.9369783315492507,94.29517460800741,18.574534570350583,26.01988383674124
ant,P5FLCIQX,32.2473158862177,0.9316431260227565,99.2804132645031,17.9541257403409,32.52512355243483
ant,64UGWGEQ,34.15422475793711,0.9401542734150863,88.58067574814005,14.087592799036438,12.135692631378125
ant,BLDUGZM8,33.582139202307744,0.9372281091130195,93.44591379162252,18.874837813885204,22.99754144181845
ant,KE5QV678,32.307088106790964,0.9309351559895188,101.43638560428953,18.028702446975032,32.68268834125086
ant,6FGR852Q,33.62954440474889,0.9375008537401608,92.74039909441993,18.241073879349827,18.994454441028985
ant,PF8VL27D,34.14951817414257,0.9401055859096015,88.63106774432242,13.507990871777299,12.133459116447906
ant,1W09DCWX,34.1309876536997,0.9398583072928054,88.85139040282766,16.57962401827287,12.247840849835038
ant,FFWNXKR5,31.893111097274332,0.9322683295207237,98.22111420976718,17.30871691607605,60.181388426716246
ant,ZZAQS0VV,33.43586422553478,0.9368659684907145,94.37559394865941,18.656085238145014,26.797571467354178
ant,6GVFSF29,34.15481064163107,0.9400276123587765,88.65065373124742,16.50642353792614,12.025939792615663
ant,564RLVG5,33.45565359837165,0.9369775741847594,94.34915881145973,18.556283656369857,26.064258966581278
ant,B4OV6V2O,33.502385188664135,0.9373034487909345,94.27939318765937,17.850282563659633,21.03006718101187
ant,DFQ97IZC,33.5339990172673,0.9374539487397493,93.75634447122026,17.672333733826097,21.294414141004534
ant,GGN50G4V,32.863171977549264,0.9336421608331784,97.25825237119768,18.07294223175412,34.74781399844839
ant,HKQ7Y3H5,33.22157167557688,0.9360613004485173,95.41757378112328,18.62385025619672,33.81405916938261
ant,0N2699I4,33.5822674062652,0.9373455465729557,93.55376619146742,18.302583980109205,22.4626271865069
ant,W6VUV8AT,32.280509944099464,0.9317449194874929,101.70359776037817,17.987815957794073,32.397007563699084
ant,ZS4WE69T,33.26230375625625,0.9353859765612664,97.17140591890085,18.647186266844535,24.030996828309117
ant,0KXGJPXG,33.60507407610174,0.9375449846039957,92.99645992524837,17.008422842753596,19.010696043495848
ant,5JDT6LMP,33.57441589015624,0.9371907633928517,93.60106586569462,18.835926275138828,23.17338200225363
ant,UTFAAFUA,34.13751565091312,0.940028755522486,88.70896871736998,13.317091175211763,12.237579552191123
ant,21J25K4U,33.47839223167267,0.937139092689723,94.6212975559126,18.008001128396636,21.23064573486116
ant,BYC2A7N4,33.283371751691206,0.9363537596825936,94.96478308328145,18.881398260347574,25.482073756980085
ant,0WS47U8A,33.245459941631346,0.9355101027892003,96.00004194522177,18.429345265786097,24.648129757337422
ant,FXRIBQGU,33.19252674636774,0.9357973191868606,95.86127714293119,18.380640899997285,36.75763005590635
ant,MG3ABK0V,32.29943265827788,0.9315161776186814,101.84988644379378,18.173148296172624,32.099182053954074
ant,TPJQGNVK,33.249875416517874,0.9354415518134388,96.73042283398775,18.471681731357037,24.549735669779142
ant,8MJQUKEV,31.822525400886693,0.932007157387425,98.86288290655139,17.3929501964695,58.197956440111476
ant,3DEE77UW,33.22198949571286,0.9360642273034623,95.46230122055623,18.597908514440757,33.5500125681738
ant,ARTN2V6K,33.60210381085681,0.9375014545312569,93.05887000424195,17.232646498271485,19.06709639367933
ant,TFX3SD6H,32.24501051069514,0.9318179440735584,100.98897655338281,18.18695180916295,32.249699190733516
ant,IOWDC5G8,34.15797758882915,0.9401420295535036,88.58508491853043,13.909444738977362,12.12952417331779
ant,AMNVHOQF,33.25460386251401,0.9354063743975625,96.85730042879739,18.50940782184652,24.385145303528176
ant,XDJG82W1,33.53449982461453,0.9375039831322817,93.83070025547411,17.553478374056326,20.85963120269878
ant,2A7SD1DF,34.13414870270804,0.9400209526517498,88.771140940024,13.490381938220805,12.244618518288204
ant,FRD3O011,33.58134529025595,0.9373446658476076,93.57828095249067,18.264418303047382,22.414721303422883
ant,KF8HNF1V,33.455992573787206,0.9370200746688083,94.28662747340661,18.637741030791695,25.856233569814734
ant,5CO2M7JI,33.56754174595726,0.9373904410286329,93.6883145470563,17.342582857365404,19.52691118543166
ant,UIIR305U,33.58845451256158,0.937413320316011,93.16530223712644,17.353300763415316,19.205194599459237
ant,17MOJCM0,33.61721802631575,0.9376428474241228,93.02764704040567,16.888257893384804,19.08350135357143
ant,8KFQZFXC,33.249724757461266,0.9354427575471982,96.2099218162179,18.65582444423832,24.096768532183297
ant,BPOTBIHT,34.152396388425394,0.940099473023296,88.58440775962015,13.480500087918765,12.147288279539058
ant,HPWQIWX1,34.161826745326934,0.9405924167799119,88.5818644108258,14.598321035862385,13.635581971728937
ant,ODEGBK0L,31.74364608993279,0.9318256413758691,98.96456113769506,17.461263823418754,59.16351485657627
ant,4PM1C5BT,33.44592166833873,0.936868680650322,94.267440408154,18.734387099065152,26.957527813948367
ant,1MRGFJTW,33.58973781974922,0.9374746751429429,93.2206989838616,17.034576276885627,19.161210133610084
ant,QLEBXC6O,33.61440978444595,0.9376244791111543,92.93179232478617,16.906055693124106,19.092889463913263
ant,BARY9PI6,33.25582727130523,0.9352594273007331,97.42434914067768,18.531218139234916,25.05657554492024
ant,EIEHIKQZ,33.2466936659261,0.9354725658003964,96.81759803173559,18.47005536529776,24.242447800408723
ant,AXDOVM2X,33.24387494302898,0.9356404397618118,95.56207316643051,18.576943000552482,24.36420820209923
ant,LSYE9Z1X,33.26860378652842,0.9356696466308329,95.70061001056642,18.557599992003073,23.956568244831534
ant,JJ7UP404,33.30830334387082,0.9363834579192584,94.83125400917861,19.024870092952455,25.18891970752674
ant,LTNF8NBA,34.15023907938368,0.940069539629998,88.68957517941733,13.445022421445382,12.124811906499067
ant,Y8YEGI9T,33.25010191670769,0.9353745203113082,96.54872899199987,18.64791649824463,24.38326844468108
ant,PIAZ7C8C,33.61201316366623,0.9375913122400122,92.96164981060171,16.958700882117242,18.978235157725532
ant,7VXNKARY,33.535974159404375,0.9375082230686549,93.82472364498881,17.680976161397506,21.135142266476596
ant,ENX96O2U,33.25099514013687,0.9354780583239314,95.87705424459492,18.41955919100595,24.260451216366906
ant,CB7OKV11,34.138449448995786,0.9402137134798724,88.66103252545143,17.00333715402774,13.736503618921917
ant,IGWD4UHP,33.47302631937815,0.9371633586005785,94.66695129075876,17.933974684105475,21.20846025178903
ant,1EUY2FDW,33.56952156089363,0.9373956521352133,93.63440710461965,17.23949395007836,19.534721204726285
ant,SC0K1B2K,33.57992801226519,0.9373121543310174,93.70708980296243,18.204211310799288,22.880331923047063
ant,CRL4NTSY,33.53525653638584,0.9374785945190126,93.74733094510083,17.74102451928342,21.254802747277576
ant,KHG8J2VO,34.1569156029332,0.9400757942626725,88.60126896982096,13.36280595172013,12.050892872860064
ant,S48VWYZS,32.32361722283229,0.9311692539732255,99.874549987092,17.929235045960787,33.06044775391944
ant,GE5HVK1K,33.26087022978331,0.9354938473274459,96.70283924345294,18.48750882256036,24.167156798268525
ant,MSRY38QN,33.60049669573548,0.9375178552978668,93.25504948012639,17.053923723057217,19.103475561886178
ant,RRIH4O2K,34.144073625247444,0.9400438135536155,88.63006250215935,13.408459664572035,12.1539540782153
ant,ANSS18U5,32.25636208051312,0.9314202707798327,99.4799428566081,17.992521867363653,31.52514118689569
ant,76WHZP20,33.53291525511096,0.9375303177098137,93.7555027680367,17.51087149747562,20.924802508955757
ant,1ZNU86BO,32.308559061082036,0.9319046806933274,101.00598837530136,17.85099303182272,32.15958906576675
ant,2B0RKNKO,32.2473158862177,0.9316431260227565,99.2804132645031,17.9541257403409,32.52512355243483
ant,ULPQUWDZ,32.25165674226915,0.931581075215221,100.22922167111012,17.907951998520364,31.761533483898855
ant,VB24QRYJ,34.11513563029814,0.9399803467650911,89.13064210318961,14.005149234975951,12.862084349443878
ant,RSH0XSTR,34.15023795464121,0.9405302639624372,88.68284801278138,14.693786837548203,13.989533591031714
ant,KAUABIO5,33.435119101141595,0.9368698982457023,94.39562230202189,18.530207850414044,26.79015603946495
