Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF
ant,KE5QV678,576,21,4,4,1.4,1.3,4,5,250,32.307088106790964,0.9309351559895188,101.43638560428953,18.028702446975032,32.68268834125086
ant,JVY5QYDO,576,21,4,4,1.4,1.3,8,5,0,32.88770539759709,0.9336885240540576,96.96604215371832,18.24653700667909,34.278504509872306
ant,S48VWYZS,576,21,4,4,1.4,1.3,8,5,62,32.32361722283229,0.9311692539732256,99.874549987092,17.929235045960787,33.06044775391944
ant,C9I42E01,576,21,4,4,1.4,1.3,8,5,125,32.20158494807083,0.9313244057531974,100.03980125054696,17.821349737267507,33.33809065614204
ant,EC1DUD9R,576,21,4,4,1.4,1.3,8,5,187,32.31826121731651,0.9312606287832876,100.7381753822516,17.99550180883573,34.055266506449904
ant,6UBWWTLP,576,21,4,4,1.4,1.3,8,5,250,32.25081414853453,0.9311608686969056,101.5203877446774,17.973326439729025,33.68484711683892
ant,1A9V9KIM,576,21,4,4,1.4,1.3,12,5,0,32.888944731949245,0.933728229940234,96.89450297821271,18.172323590358754,34.238914868193575
ant,8QLU8LWG,576,21,4,4,1.4,1.3,12,5,62,32.29345364975316,0.9312445702244392,99.83791596128157,17.842413616649118,34.05146719114488
ant,7B6B32GM,576,21,4,4,1.4,1.3,12,5,125,32.22978296443442,0.9313756079223026,99.84371160929538,17.770775802031405,34.099966059282025
ant,6YKUCCNW,576,21,4,4,1.4,1.3,12,5,187,32.30679903881919,0.9314574652643346,100.89175976670464,17.84418398844897,35.24039900326134
ant,ZICRE7NS,576,21,4,4,1.4,1.3,12,5,250,32.2937586741209,0.931258617348932,101.76894741425969,17.800788209634526,33.9690312797255
ant,0SXCX6IH,576,21,4,4,1.4,1.3,16,5,0,32.85551973441011,0.933795119992536,97.10745516725788,18.05563859800904,35.07317421035951
