Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
ant,F44FK0KT,10721,37,4,0,1.4,1.3,3,5,40,0
ant,MVQ7IQ3J,12750,37,4,0,1.4,1.3,3,5,40,0
ant,O9U3ZGI5,14779,37,4,0,1.4,1.3,3,5,40,0
ant,P3DFJBOO,16808,37,4,0,1.4,1.3,3,5,40,0
ant,6EU5Y4DU,20000,37,4,0,1.4,1.3,3,5,40,0
ant,649MJU7Q,576,50,4,0,1.4,1.3,3,5,40,0
ant,W1AMH9FY,2605,50,4,0,1.4,1.3,3,5,40,0
ant,Q0CRC2N9,4634,50,4,0,1.4,1.3,3,5,40,0
ant,P11OASUL,6663,50,4,0,1.4,1.3,3,5,40,0
ant,MW0VSVXB,8692,50,4,0,1.4,1.3,3,5,40,0
ant,TFOVLZDJ,10721,50,4,0,1.4,1.3,3,5,40,0
ant,TOB4OKIG,12750,50,4,0,1.4,1.3,3,5,40,0
ant,3ASJOU2I,14779,50,4,0,1.4,1.3,3,5,40,0
ant,XZ7X6ZHJ,16808,50,4,0,1.4,1.3,3,5,40,0
ant,0U1R94KM,20000,50,4,0,1.4,1.3,3,5,40,0
misato,Z7178SIJ,576,0,4,0,1.4,1.3,3,5,40,0
misato,BTLJERAU,2605,0,4,0,1.4,1.3,3,5,40,0
misato,UYGN7B7H,4634,0,4,0,1.4,1.3,3,5,40,0
misato,EFW07SPU,6663,0,4,0,1.4,1.3,3,5,40,0
misato,TO406ZXQ,8692,0,4,0,1.4,1.3,3,5,40,0
misato,BN498FAP,10721,0,4,0,1.4,1.3,3,5,40,0
misato,1PZTSFNQ,12750,0,4,0,1.4,1.3,3,5,40,0
misato,NV14X7FS,14779,0,4,0,1.4,1.3,3,5,40,0
misato,96TZLEDI,16808,0,4,0,1.4,1.3,3,5,40,0
misato,9DSNSRGW,20000,0,4,0,1.4,1.3,3,5,40,0
misato,COY07MLF,576,12,4,0,1.4,1.3,3,5,40,0
misato,POT9B3TO,2605,12,4,0,1.4,1.3,3,5,40,0
misato,HW9MF8O9,4634,12,4,0,1.4,1.3,3,5,40,0
misato,GUDA4ZES,6663,12,4,0,1.4,1.3,3,5,40,0
misato,UU66CD3A,8692,12,4,0,1.4,1.3,3,5,40,0
misato,S8LRNIV9,10721,12,4,0,1.4,1.3,3,5,40,0
misato,U9EWF54O,12750,12,4,0,1.4,1.3,3,5,40,0
misato,MU5QNOG9,14779,12,4,0,1.4,1.3,3,5,40,0
misato,ZCEZWZN1,16808,12,4,0,1.4,1.3,3,5,40,0
misato,UZBBCJSW,20000,12,4,0,1.4,1.3,3,5,40,0
misato,JN6U40SP,576,25,4,0,1.4,1.3,3,5,40,0
misato,LU0B7EQ9,2605,25,4,0,1.4,1.3,3,5,40,0
misato,2KSUXGNJ,4634,25,4,0,1.4,1.3,3,5,40,0
misato,B2NEFVVV,6663,25,4,0,1.4,1.3,3,5,40,0
misato,XN1LLL2Z,8692,25,4,0,1.4,1.3,3,5,40,0
misato,RB7P2PXU,10721,25,4,0,1.4,1.3,3,5,40,0
misato,KWPDFYT8,12750,25,4,0,1.4,1.3,3,5,40,0
misato,LGO37SCX,14779,25,4,0,1.4,1.3,3,5,40,0
misato,8ALI3EJ8,16808,25,4,0,1.4,1.3,3,5,40,0
misato,0AYUL6Z1,20000,25,4,0,1.4,1.3,3,5,40,0
misato,X869Y555,576,37,4,0,1.4,1.3,3,5,40,0
misato,VY27KZK3,2605,37,4,0,1.4,1.3,3,5,40,0
misato,5G473926,4634,37,4,0,1.4,1.3,3,5,40,0
misato,F0X19GVY,6663,37,4,0,1.4,1.3,3,5,40,0
misato,U0HUCNN5,8692,37,4,0,1.4,1.3,3,5,40,0
misato,EI2LDCIG,10721,37,4,0,1.4,1.3,3,5,40,0
