Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
referee,MATB68OX,576,21,4,0,1.4,1.3,3,5,40,0
referee,6QABLU1W,972,21,4,0,1.4,1.3,3,5,40,0
referee,PRNTGM0Z,1368,21,4,0,1.4,1.3,3,5,40,0
referee,9O78SYG8,1765,21,4,0,1.4,1.3,3,5,40,0
referee,BYTQ330V,2161,21,4,0,1.4,1.3,3,5,40,0
referee,E6TEXADH,2558,21,4,0,1.4,1.3,3,5,40,0
referee,1P2L7QXN,2954,21,4,0,1.4,1.3,3,5,40,0
referee,C8QV9K2E,3350,21,4,0,1.4,1.3,3,5,40,0
referee,JGKKUF3B,3747,21,4,0,1.4,1.3,3,5,40,0
referee,EB34AQ52,4143,21,4,0,1.4,1.3,3,5,40,0
referee,74FZ7YNT,4540,21,4,0,1.4,1.3,3,5,40,0
referee,1NZJALKW,4936,21,4,0,1.4,1.3,3,5,40,0
referee,RURBSE33,5332,21,4,0,1.4,1.3,3,5,40,0
referee,S8V31RFZ,5729,21,4,0,1.4,1.3,3,5,40,0
referee,K36V967L,6125,21,4,0,1.4,1.3,3,5,40,0
referee,H9K19M63,6522,21,4,0,1.4,1.3,3,5,40,0
referee,MQGW3D75,6918,21,4,0,1.4,1.3,3,5,40,0
referee,TIPL1M8K,7314,21,4,0,1.4,1.3,3,5,40,0
referee,MVI50RK7,7711,21,4,0,1.4,1.3,3,5,40,0
referee,O5KN8965,8107,21,4,0,1.4,1.3,3,5,40,0
referee,ML1J5O9W,8504,21,4,0,1.4,1.3,3,5,40,0
referee,7P2NJETP,8900,21,4,0,1.4,1.3,3,5,40,0
referee,VA6B2VPJ,9296,21,4,0,1.4,1.3,3,5,40,0
referee,JGMZS71Z,9693,21,4,0,1.4,1.3,3,5,40,0
referee,T5N70UBJ,10089,21,4,0,1.4,1.3,3,5,40,0
referee,L1XCYTTS,10486,21,4,0,1.4,1.3,3,5,40,0
referee,T9357GA2,10882,21,4,0,1.4,1.3,3,5,40,0
referee,0XAQFZN9,11279,21,4,0,1.4,1.3,3,5,40,0
referee,M5IHK15U,11675,21,4,0,1.4,1.3,3,5,40,0
referee,36H5XW6C,12071,21,4,0,1.4,1.3,3,5,40,0
referee,MYVSVWQ1,12468,21,4,0,1.4,1.3,3,5,40,0
referee,361KA9EF,12864,21,4,0,1.4,1.3,3,5,40,0
referee,1YJ4UTT6,13261,21,4,0,1.4,1.3,3,5,40,0
referee,CZK1HD57,13657,21,4,0,1.4,1.3,3,5,40,0
referee,FLWEB4E1,14053,21,4,0,1.4,1.3,3,5,40,0
referee,SN66ZEUM,14450,21,4,0,1.4,1.3,3,5,40,0
referee,QD2WQKOR,14846,21,4,0,1.4,1.3,3,5,40,0
referee,DLN2UQST,15243,21,4,0,1.4,1.3,3,5,40,0
referee,MSTSV9SD,15639,21,4,0,1.4,1.3,3,5,40,0
referee,K16Y49XS,16035,21,4,0,1.4,1.3,3,5,40,0
referee,KRD4A6XK,16432,21,4,0,1.4,1.3,3,5,40,0
referee,N74M54SK,16828,21,4,0,1.4,1.3,3,5,40,0
referee,RYUCUC14,17225,21,4,0,1.4,1.3,3,5,40,0
referee,HGYO33H8,17621,21,4,0,1.4,1.3,3,5,40,0
referee,0QMCN4L7,18017,21,4,0,1.4,1.3,3,5,40,0
referee,BWXZRRRO,18414,21,4,0,1.4,1.3,3,5,40,0
referee,41537C3D,18810,21,4,0,1.4,1.3,3,5,40,0
referee,V6MVF0U8,19207,21,4,0,1.4,1.3,3,5,40,0
referee,MPYBZ9L0,19603,21,4,0,1.4,1.3,3,5,40,0
referee,51VM1HXC,20000,21,4,0,1.4,1.3,3,5,40,0
cat,CPQKUVW5,576,21,4,0,1.4,1.3,3,5,40,0
cat,ABK1QETS,972,21,4,0,1.4,1.3,3,5,40,0
cat,STXOW178,1368,21,4,0,1.4,1.3,3,5,40,0
cat,S7475MOW,1765,21,4,0,1.4,1.3,3,5,40,0
cat,XSZC9LO2,2161,21,4,0,1.4,1.3,3,5,40,0
cat,5ILOSD33,2558,21,4,0,1.4,1.3,3,5,40,0
cat,N82CU3AY,2954,21,4,0,1.4,1.3,3,5,40,0
cat,X1RLFOYZ,3350,21,4,0,1.4,1.3,3,5,40,0
cat,M81D5Y8X,3747,21,4,0,1.4,1.3,3,5,40,0
cat,4AMSXLR4,4143,21,4,0,1.4,1.3,3,5,40,0
cat,RJ8OG4EQ,4540,21,4,0,1.4,1.3,3,5,40,0
cat,12RZ0WYC,4936,21,4,0,1.4,1.3,3,5,40,0
cat,ECGMZALI,5332,21,4,0,1.4,1.3,3,5,40,0
cat,AUM2ZYKG,5729,21,4,0,1.4,1.3,3,5,40,0
cat,V28DR5BA,6125,21,4,0,1.4,1.3,3,5,40,0
cat,ZE957UHH,6522,21,4,0,1.4,1.3,3,5,40,0
