Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
ant,AAF0LEN0,10721,37,4,0,1.4,1.3,3,5,40,0
ant,3SSE1866,12750,37,4,0,1.4,1.3,3,5,40,0
ant,7DX8OSTX,14779,37,4,0,1.4,1.3,3,5,40,0
ant,W59KWGB7,16808,37,4,0,1.4,1.3,3,5,40,0
ant,5Z5ST6LU,20000,37,4,0,1.4,1.3,3,5,40,0
ant,CHQHECWI,576,50,4,0,1.4,1.3,3,5,40,0
ant,14UP0CJN,2605,50,4,0,1.4,1.3,3,5,40,0
ant,LINQ8OCC,4634,50,4,0,1.4,1.3,3,5,40,0
ant,HNVXI4U5,6663,50,4,0,1.4,1.3,3,5,40,0
ant,5JUTJUBH,8692,50,4,0,1.4,1.3,3,5,40,0
ant,5HQRGK67,10721,50,4,0,1.4,1.3,3,5,40,0
ant,MFYU987E,12750,50,4,0,1.4,1.3,3,5,40,0
ant,PGMH6H77,14779,50,4,0,1.4,1.3,3,5,40,0
ant,0N0WE3EC,16808,50,4,0,1.4,1.3,3,5,40,0
ant,RTEE7W95,20000,50,4,0,1.4,1.3,3,5,40,0
misato,J1XHZGWL,576,0,4,0,1.4,1.3,3,5,40,0
misato,UTHTG9YF,2605,0,4,0,1.4,1.3,3,5,40,0
misato,940E64H6,4634,0,4,0,1.4,1.3,3,5,40,0
misato,K39U13C2,6663,0,4,0,1.4,1.3,3,5,40,0
misato,UI3K4FZ0,8692,0,4,0,1.4,1.3,3,5,40,0
misato,098J2U68,10721,0,4,0,1.4,1.3,3,5,40,0
misato,BWSAF8YM,12750,0,4,0,1.4,1.3,3,5,40,0
misato,7UJPTQWZ,14779,0,4,0,1.4,1.3,3,5,40,0
misato,QH990354,16808,0,4,0,1.4,1.3,3,5,40,0
misato,KDJ32568,20000,0,4,0,1.4,1.3,3,5,40,0
misato,RDAKW8WT,576,12,4,0,1.4,1.3,3,5,40,0
misato,XOMJAORL,2605,12,4,0,1.4,1.3,3,5,40,0
misato,13MHZOME,4634,12,4,0,1.4,1.3,3,5,40,0
misato,4M22NRLZ,6663,12,4,0,1.4,1.3,3,5,40,0
misato,7KM2LGCZ,8692,12,4,0,1.4,1.3,3,5,40,0
misato,F7GEKS96,10721,12,4,0,1.4,1.3,3,5,40,0
misato,YJY2B5DW,12750,12,4,0,1.4,1.3,3,5,40,0
misato,XP6RUF1J,14779,12,4,0,1.4,1.3,3,5,40,0
misato,J3N78N54,16808,12,4,0,1.4,1.3,3,5,40,0
misato,RCBVFYF2,20000,12,4,0,1.4,1.3,3,5,40,0
misato,SO2KWSB4,576,25,4,0,1.4,1.3,3,5,40,0
misato,WK3XYPYB,2605,25,4,0,1.4,1.3,3,5,40,0
misato,IPOP68YE,4634,25,4,0,1.4,1.3,3,5,40,0
misato,PWOSX4YT,6663,25,4,0,1.4,1.3,3,5,40,0
misato,OIHDLMIX,8692,25,4,0,1.4,1.3,3,5,40,0
misato,SANGJCKC,10721,25,4,0,1.4,1.3,3,5,40,0
misato,5N2C50GT,12750,25,4,0,1.4,1.3,3,5,40,0
misato,6B9R4TXM,14779,25,4,0,1.4,1.3,3,5,40,0
misato,CQ8PBQUV,16808,25,4,0,1.4,1.3,3,5,40,0
misato,9JT6M99S,20000,25,4,0,1.4,1.3,3,5,40,0
misato,KE6AIEKS,576,37,4,0,1.4,1.3,3,5,40,0
misato,R0I24102,2605,37,4,0,1.4,1.3,3,5,40,0
misato,CCNI6A59,4634,37,4,0,1.4,1.3,3,5,40,0
misato,U7F6W5BY,6663,37,4,0,1.4,1.3,3,5,40,0
misato,5J94TAD1,8692,37,4,0,1.4,1.3,3,5,40,0
misato,JCIOXCVH,10721,37,4,0,1.4,1.3,3,5,40,0
misato,EWO9ZZQB,12750,37,4,0,1.4,1.3,3,5,40,0
misato,0FYPAJH8,14779,37,4,0,1.4,1.3,3,5,40,0
misato,CEKQ1ECR,16808,37,4,0,1.4,1.3,3,5,40,0
misato,3DASKY50,20000,37,4,0,1.4,1.3,3,5,40,0
misato,ZYC15NHE,576,50,4,0,1.4,1.3,3,5,40,0
misato,DRGDHQC2,2605,50,4,0,1.4,1.3,3,5,40,0
misato,NUFXO2PQ,4634,50,4,0,1.4,1.3,3,5,40,0
misato,3U8Q4SO2,6663,50,4,0,1.4,1.3,3,5,40,0
misato,I8SRHXTC,8692,50,4,0,1.4,1.3,3,5,40,0
misato,BZSD1V3H,10721,50,4,0,1.4,1.3,3,5,40,0
misato,F2A9W50X,12750,50,4,0,1.4,1.3,3,5,40,0
